sat_id,osm_type_conc,osm_id_conc,osm_type_osm,osm_id_osm
sat:pier:24hkr,,,node,2321869273.0
sat:pier:25njf,,,node,476790748.0
sat:pier:2d2nq,,,node,863443825.0
sat:pier:3axkr,,,way,605734271.0
sat:pier:3kwbd,,,node,2942213200.0
sat:pier:4whpf,,,node,2349139503.0
sat:pier:5cx6y,,,node,1611299356.0
sat:pier:6w8v7,,,node,7784981225.0
sat:pier:88p26,,,node,2349164668.0
sat:pier:8a3zv,,,node,946510410.0
sat:pier:97dsz,,,node,5729827888.0
sat:pier:9d4ts,,,node,269395949.0
sat:pier:ana8w,,,node,859356638.0
sat:pier:badnq,,,node,5530966.0
sat:pier:bg8n2,,,node,2927541101.0
sat:pier:bks6e,,,node,7786882522.0
sat:pier:c2zdb,,,node,758463397.0
sat:pier:cg6tm,,,node,842475508.0
sat:pier:cg6tm,,,node,2349013583.0
sat:pier:d9x33,,,node,424056139.0
sat:pier:dz2kk,,,node,822562778.0
sat:pier:fb4m2,,,node,2908793764.0
sat:pier:g9c6x,,,node,435187426.0
sat:pier:gj722,,,node,435221526.0
sat:pier:h3e32,,,node,2908794120.0
sat:pier:h5e27,,,node,435221450.0
sat:pier:h5sec,,,node,946510502.0
sat:pier:hk4c2,,,node,2550392590.0
sat:pier:hv928,,,node,1415228919.0
sat:pier:kcqca,,,node,900631536.0
sat:pier:mb7mm,,,node,5861205706.0
sat:pier:npv3h,,,node,2908793762.0
sat:pier:ptqk8,,,node,1823005981.0
sat:pier:r9h6s,,,node,7683934978.0
sat:pier:r9t9s,,,node,1917030192.0
sat:pier:rt7xw,,,node,946514729.0
sat:pier:tnjrd,,,node,946514722.0
sat:pier:vmgj9,,,node,424093156.0
sat:pier:w9mqf,,,node,435187395.0
sat:pier:wcghw,,,node,2908793792.0
sat:pier:x224j,,,node,332454137.0
sat:pier:x9mp5,,,node,12182575619.0
sat:pier:x9t5q,,,node,5530979.0
sat:pier:xqdpx,,,node,441941298.0
sat:pier:y2b5e,,,node,900632078.0
sat:pier:y7y66,,,node,2334340773.0
sat:pier:yd6px,,,node,2349235266.0
sat:pier:z8knr,,,node,1611299455.0
sat:pier:zqjp7,,,node,491552371.0
sat:pier:zw4s7,,,node,467047074.0
sat:poi:237gm,node,2960935621.0,node,2960935621.0
sat:poi:237tx,way,857838618.0,way,857838618.0
sat:poi:25bc2,way,589298538.0,way,589298538.0
sat:poi:267fb,way,223282382.0,way,223282382.0
sat:poi:26aed,node,13144156053.0,node,13144156053.0
sat:poi:2atzy,node,1430936608.0,way,465662346.0
sat:poi:2atzy,way,465662346.0,way,465662346.0
sat:poi:2cd4d,node,13107588524.0,node,13107588524.0
sat:poi:2cs5n,way,1376435118.0,way,1376435118.0
sat:poi:2ctyz,node,11084999217.0,node,11084999217.0
sat:poi:2eztq,node,2379276238.0,,
sat:poi:2pscn,way,698721756.0,way,698721756.0
sat:poi:2qk4d,node,13128085070.0,node,13128085070.0
sat:poi:2r4yc,node,4964697368.0,node,4964697368.0
sat:poi:2raey,way,703944414.0,way,703944414.0
sat:poi:2szbh,node,473209678.0,node,473209678.0
sat:poi:2var9,node,12945087542.0,node,12945087542.0
sat:poi:2vayz,way,241040806.0,,
sat:poi:2wh5n,way,229110248.0,way,229110248.0
sat:poi:2y3sb,way,694128677.0,way,694128677.0
sat:poi:2yh23,node,12964017564.0,node,12964017564.0
sat:poi:2ypnw,node,9731151623.0,node,9731151623.0
sat:poi:32288,node,12869950725.0,node,12869950725.0
sat:poi:32htq,,,node,11148319151.0
sat:poi:33shw,way,1423491288.0,way,1423491288.0
sat:poi:33teb,node,1401738704.0,node,1401738704.0
sat:poi:36bpg,way,1422810843.0,way,1422810843.0
sat:poi:36hxc,node,863423239.0,node,863423239.0
sat:poi:379e4,node,2349013040.0,node,2349013040.0
sat:poi:3832n,,,node,12772629157.0
sat:poi:38zez,node,11066973234.0,node,11066973234.0
sat:poi:3axkg,way,1517327071.0,way,1517327071.0
sat:poi:3bzw8,node,5009607109.0,node,5009607109.0
sat:poi:3dqhc,node,7056281205.0,node,7056281205.0
sat:poi:3esyv,node,7791334540.0,node,7791334540.0
sat:poi:3g2t3,node,8524303978.0,node,8524303978.0
sat:poi:3j9yj,way,222762672.0,,
sat:poi:3k92w,way,330032369.0,way,330032369.0
sat:poi:3n4yn,node,13042692090.0,node,13042692090.0
sat:poi:3p62b,way,1422474180.0,way,1422474180.0
sat:poi:3pdqj,node,12740326709.0,node,12740326709.0
sat:poi:3pe5v,way,222762689.0,,
sat:poi:3pgve,way,300450549.0,way,300450549.0
sat:poi:3q6gq,way,496349657.0,way,496349657.0
sat:poi:3qdet,way,1529901098.0,way,1529901098.0
sat:poi:3qh4s,node,936554827.0,node,936554827.0
sat:poi:3sbvd,way,835790392.0,way,455176656.0
sat:poi:3sbvd,way,835790392.0,way,835790392.0
sat:poi:3spb7,node,2225378750.0,node,2225378750.0
sat:poi:3t5da,way,1305399449.0,,
sat:poi:3xx4m,node,13159224340.0,node,13159224340.0
sat:poi:3y77m,way,1392291391.0,way,1392291391.0
sat:poi:43wdx,node,1414841722.0,node,1414841722.0
sat:poi:455vg,way,857838617.0,,
sat:poi:459zw,,,node,13097085019.0
sat:poi:46txv,relation,11478821.0,relation,11478821.0
sat:poi:493m8,way,857838616.0,,
sat:poi:495wn,way,237190146.0,way,237190146.0
sat:poi:4anmp,node,12738920397.0,node,12738920397.0
sat:poi:4edkj,relation,11478820.0,,
sat:poi:4f4rw,,,node,12770512759.0
sat:poi:4fge7,relation,15033302.0,relation,15033302.0
sat:poi:4h2nm,way,229605201.0,,
sat:poi:4h53m,node,14027227875.0,node,14027227875.0
sat:poi:4hq25,node,13081071659.0,node,13081071659.0
sat:poi:4je76,node,11075643778.0,node,11075643778.0
sat:poi:4kken,node,13023091918.0,node,13023091918.0
sat:poi:4ncam,node,13943740199.0,node,13943740199.0
sat:poi:4rppv,node,14003389435.0,,
sat:poi:4xvhw,way,290833690.0,,
sat:poi:4y953,way,1145185653.0,way,1145185653.0
sat:poi:4z558,node,4879006116.0,node,4879006116.0
sat:poi:4zkep,node,7815304012.0,node,7815304012.0
sat:poi:55f8n,node,10049770242.0,node,10049770242.0
sat:poi:58ezq,node,5856137503.0,node,5856137503.0
sat:poi:59xam,node,13961598974.0,node,13961598974.0
sat:poi:5a9dh,node,443132454.0,node,443132454.0
sat:poi:5ax55,way,1305276858.0,,
sat:poi:5bvfw,node,14023546865.0,,
sat:poi:5c62v,node,12962274334.0,,
sat:poi:5che8,node,2916728357.0,node,2916728357.0
sat:poi:5hc74,node,1848869435.0,,
sat:poi:5jmyn,way,620328417.0,way,620328417.0
sat:poi:5jqcs,way,223271662.0,way,223271662.0
sat:poi:5k975,node,13041911527.0,node,13041911527.0
sat:poi:5kssn,node,14022546073.0,,
sat:poi:5kxr2,node,14027456239.0,,
sat:poi:5n7pv,way,620363898.0,way,620363898.0
sat:poi:5pwx4,way,322935681.0,way,322935681.0
sat:poi:5qbbt,node,12959406894.0,,
sat:poi:5t3yj,way,226745409.0,way,226745409.0
sat:poi:5t7sg,node,863394827.0,node,863394827.0
sat:poi:5tc44,node,1822980813.0,node,1822980813.0
sat:poi:5tj8c,node,9850643970.0,node,9850643970.0
sat:poi:5tjm9,node,2363203164.0,node,2363203164.0
sat:poi:5wbha,node,794630737.0,node,794630737.0
sat:poi:5y6dm,node,13992691864.0,node,13992691864.0
sat:poi:5zvpv,node,14002250110.0,node,14002250110.0
sat:poi:5zvqw,way,300450541.0,,
sat:poi:622e5,node,2943477517.0,node,2943477517.0
sat:poi:635h5,way,229110282.0,way,229110282.0
sat:poi:644r8,node,5005793728.0,node,5005793728.0
sat:poi:652v2,node,12081127987.0,node,12081127987.0
sat:poi:6564p,node,13039521525.0,node,13039521525.0
sat:poi:65far,node,5798509123.0,node,5798509123.0
sat:poi:67a4d,node,12956347396.0,,
sat:poi:67dh7,,,node,12769968654.0
sat:poi:688nt,,,node,6041645037.0
sat:poi:69m8t,node,864356451.0,node,864356451.0
sat:poi:6ak54,node,364724362.0,node,364724362.0
sat:poi:6b24m,way,292969768.0,way,292969768.0
sat:poi:6bbav,way,222762706.0,,
sat:poi:6d84d,,,node,12190259938.0
sat:poi:6e8px,way,1376954741.0,way,1376954741.0
sat:poi:6f4re,node,13061781619.0,node,13061781619.0
sat:poi:6fn35,way,388325321.0,way,388325321.0
sat:poi:6hgt7,node,12723432176.0,node,12723432176.0
sat:poi:6kv4x,way,248207893.0,way,248207893.0
sat:poi:6mn5j,node,2550378583.0,node,2550378583.0
sat:poi:6n6hj,node,2285332799.0,node,2285332799.0
sat:poi:6p6hb,node,4319184675.0,node,4319184675.0
sat:poi:6p8zd,way,229110281.0,way,229110281.0
sat:poi:6qpzh,node,12085619948.0,node,12085619948.0
sat:poi:6s5v7,node,6516940386.0,node,6516940386.0
sat:poi:6sd6h,node,3053395678.0,node,3053395678.0
sat:poi:6v7wh,way,465662336.0,way,465662336.0
sat:poi:6w3b5,node,4964700616.0,node,4964700616.0
sat:poi:6w5jw,way,229110258.0,way,229110258.0
sat:poi:6yz3t,,,node,13157631495.0
sat:poi:722e9,node,4318305761.0,node,4318305761.0
sat:poi:737xd,node,12738887792.0,node,12738887792.0
sat:poi:74m64,node,7783598695.0,node,7783598695.0
sat:poi:756xr,node,5856137515.0,node,5856137515.0
sat:poi:76qzy,node,9011995676.0,node,9011995676.0
sat:poi:77hss,node,2285332792.0,node,2285332792.0
sat:poi:78qas,node,1392325247.0,node,1392325247.0
sat:poi:7a3jy,node,13160007984.0,node,13160007984.0
sat:poi:7a8eg,,,node,7791350756.0
sat:poi:7ab8p,node,13986196759.0,node,13986196759.0
sat:poi:7am32,way,834634943.0,way,834634943.0
sat:poi:7dkcd,node,12738887790.0,node,12738887790.0
sat:poi:7dwam,node,9011922103.0,node,9011922103.0
sat:poi:7dyp7,way,1528878633.0,way,1528878633.0
sat:poi:7ebqj,way,507890625.0,way,507890625.0
sat:poi:7hegr,way,1089639096.0,way,1089639096.0
sat:poi:7j67w,way,1305287603.0,way,1305287603.0
sat:poi:7jcng,node,8920392568.0,node,8920392568.0
sat:poi:7jrt8,node,2942213712.0,,
sat:poi:7mw8m,node,13068007428.0,,
sat:poi:7tqqb,node,1414841723.0,node,1414841723.0
sat:poi:7vc54,way,696324903.0,way,696324903.0
sat:poi:7xzqc,way,388325198.0,way,388325198.0
sat:poi:7yskn,way,329728728.0,way,329728728.0
sat:poi:7ytre,way,290717946.0,way,290717946.0
sat:poi:7z9gx,node,5008269763.0,node,5008269763.0
sat:poi:8283n,node,1414776607.0,node,1414776607.0
sat:poi:8283n,node,1414776607.0,way,1422807518.0
sat:poi:836c6,way,1534956531.0,,
sat:poi:83pc7,way,1537100141.0,,
sat:poi:83tp9,node,6415002799.0,,
sat:poi:84pdd,node,4964697373.0,node,4964697373.0
sat:poi:85zjp,node,12899347960.0,node,12899347960.0
sat:poi:85zjp,node,12899347960.0,way,1537326185.0
sat:poi:899ca,way,229110257.0,way,229110257.0
sat:poi:89hz7,node,6722964356.0,node,6722964356.0
sat:poi:8bqsq,node,794630742.0,node,794630742.0
sat:poi:8dncm,node,13164756107.0,node,13164756107.0
sat:poi:8ft7b,node,2908787815.0,node,2908787815.0
sat:poi:8gdsa,way,605807585.0,way,605807585.0
sat:poi:8kxjh,node,11941810402.0,node,11941810402.0
sat:poi:8n3kf,way,504184973.0,way,504184973.0
sat:poi:8p6kd,node,5734098673.0,node,5734098673.0
sat:poi:8rm48,way,229110288.0,way,229110288.0
sat:poi:8sb6w,way,1145185654.0,way,1145185654.0
sat:poi:8wsnn,node,12748135109.0,node,12748135109.0
sat:poi:8wtn9,way,247542041.0,way,247542041.0
sat:poi:8y9p9,node,1412263117.0,node,1412263117.0
sat:poi:8z9k8,node,13072501851.0,node,13072501851.0
sat:poi:8zftx,way,1089664761.0,way,1089664761.0
sat:poi:947dr,node,2943477510.0,node,2943477510.0
sat:poi:95d39,node,10948911479.0,node,10948911479.0
sat:poi:964s4,node,12145802009.0,,
sat:poi:978hx,node,12905547872.0,node,12905547872.0
sat:poi:9aj9f,,,way,229110249.0
sat:poi:9ay3e,node,13064822373.0,node,13064822373.0
sat:poi:9bj9d,way,1305276862.0,way,1305276862.0
sat:poi:9bn26,way,247542038.0,way,247542038.0
sat:poi:9bthb,way,1178578023.0,way,1178578023.0
sat:poi:9cpwf,node,13965044888.0,node,13965044888.0
sat:poi:9f68z,node,12690677492.0,node,12690677492.0
sat:poi:9hzqe,node,13943777187.0,node,13943777187.0
sat:poi:9jry6,node,13954334203.0,node,13954334203.0
sat:poi:9kf2w,node,13107588525.0,node,13107588525.0
sat:poi:9kf2w,node,13107588525.0,node,14023546865.0
sat:poi:9m7wv,node,2550380413.0,node,2550380413.0
sat:poi:9m9yn,node,14000899080.0,node,14000899080.0
sat:poi:9p5kn,node,8920392565.0,node,8920392565.0
sat:poi:9qxvg,node,13042690918.0,node,13042690918.0
sat:poi:9rwwe,node,435190209.0,node,435190209.0
sat:poi:9sa42,way,300450537.0,,
sat:poi:9x9zq,node,14028221357.0,node,14028221357.0
sat:poi:9xbg8,node,12118209285.0,,
sat:poi:9xkjj,node,1033001787.0,node,1033001787.0
sat:poi:9xyp5,node,12085564579.0,node,12085564579.0
sat:poi:9y6jx,node,13063312449.0,node,13063312449.0
sat:poi:9z37b,node,5005791361.0,node,5005791361.0
sat:poi:a2j2d,way,1527523039.0,way,1527523039.0
sat:poi:a3nx8,node,12813901080.0,node,12813901080.0
sat:poi:a4jkh,way,1418915972.0,way,1418915972.0
sat:poi:a56dh,,,node,12745161549.0
sat:poi:a5b88,node,4986599082.0,node,4986599082.0
sat:poi:a7yaa,,,node,12748135194.0
sat:poi:a9g3q,way,1425797491.0,way,1425797491.0
sat:poi:aawd4,way,1534931001.0,way,1534931001.0
sat:poi:adffa,node,5856137513.0,node,5856137513.0
sat:poi:afn84,way,422017049.0,way,422017049.0
