OBJECTID,ANORDNING_ID,ANORDNINGNAMN,TYP,UNDERTYP,BESKRIVNING,NP,GEOMETRIKVALITET,SKYDDSTYP_KOD,SKYDDATOMRADE,SKYDDATOMRADE_ID,STATLIGLED,STATLIGLED_ID,latitude_wgs84,longitude_wgs84,osm_link,osm_nearby_link
33776721,30335917,,Fyr,Fyr,,1,<= 20 meter,NP,Stenshuvud (2001830),2001830,,,55.664043,14.2778371,https://www.openstreetmap.org/?mlat=55.664043&mlon=14.2778371#map=18/55.664043/14.2778371,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,55.664043,14.2778371););out center;"
33788626,30474194,,Fyr,Fyr,,0,<= 20 meter,"N2000-SPA/SCI, NR","Kullaberg (SE0430092), Västra Kullaberg (2000972)","SE0430092, 2000972",,,56.3009668,12.4516037,https://www.openstreetmap.org/?mlat=56.3009668&mlon=12.4516037#map=18/56.3009668/12.4516037,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,56.3009668,12.4516037););out center;"
33781407,30467932,,Fyr,Fyr,,0,<= 20 meter,"DVO, N2000-SPA/SCI, NR","Bjärehalvöns kuster (2031810), Hallands Väderö (2000962), Hallands Väderö (SE0420002)","2031810, 2000962, SE0420002",,,56.4506368,12.5425355,https://www.openstreetmap.org/?mlat=56.4506368&mlon=12.5425355#map=18/56.4506368/12.5425355,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,56.4506368,12.5425355););out center;"
33778187,30208827,Vägbom med kodlås,Vägbom,Vägbom,"Bomen får passeras för transport av personer med fysisk funktionsnedsättning. Ring Länsstyrelsens växel 010-224 70 00 för bomkod. Uppge namn, registreringsnummer och ärende.",0,<= 20 meter,NR,Segerstads skärgård (2002165),2002165,,,59.2978885,13.2960436,https://www.openstreetmap.org/?mlat=59.2978885&mlon=13.2960436#map=18/59.2978885/13.2960436,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.2978885,13.2960436););out center;"
33785368,30570893,,Vägbom,Vägbom,,0,<= 20 meter,"N2000-SCI, NR","Gyllebo (2014529), Gyllebosjön (SE0420305)","2014529, SE0420305",,,55.6027172,14.1985954,https://www.openstreetmap.org/?mlat=55.6027172&mlon=14.1985954#map=18/55.6027172/14.1985954,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,55.6027172,14.1985954););out center;"
33772787,30562476,,Vägbom,Vägbom,,0,<= 20 meter,NR,Hästenäs kyrkskog (2004572),2004572,,,58.2716993,16.2610092,https://www.openstreetmap.org/?mlat=58.2716993&mlon=16.2610092#map=18/58.2716993/16.2610092,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,58.2716993,16.2610092););out center;"
33788228,30562364,,Vägbom,Vägbom,,0,<= 20 meter,NR,Ågelsjön (2043608),2043608,,,58.6733472,16.1200403,https://www.openstreetmap.org/?mlat=58.6733472&mlon=16.1200403#map=18/58.6733472/16.1200403,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,58.6733472,16.1200403););out center;"
33789997,30557502,,Vägbom,Vägbom,,0,Okänd noggrannhet,NR,Nynäs (2001921),2001921,,,58.8107876,17.3440252,https://www.openstreetmap.org/?mlat=58.8107876&mlon=17.3440252#map=18/58.8107876/17.3440252,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,58.8107876,17.3440252););out center;"
33781659,30540649,Stängd vägbom Vålhallberget,Vägbom,Vägbom,Vägbommen är stängd och låst.,0,<= 20 meter,NR,Vålhallberget (2014561),2014561,,,60.8562669,12.8504266,https://www.openstreetmap.org/?mlat=60.8562669&mlon=12.8504266#map=18/60.8562669/12.8504266,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,60.8562669,12.8504266););out center;"
33785038,30540645,"Vägbom Tijärnsskogen, Dörrfjället",Vägbom,Vägbom,Vägbommen är stängd i tjällossningstid.,0,>20-50 meter,"NR, NR","Dörrfjället (2042566), Titjärnsskogen (2002123)","2042566, 2002123",,,60.3012956,13.2731602,https://www.openstreetmap.org/?mlat=60.3012956&mlon=13.2731602#map=18/60.3012956/13.2731602,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,60.3012956,13.2731602););out center;"
33781473,30540637,Vägbom till Måns-Olasberg,Vägbom,Vägbom,Vägbommen kan vara stängd i tjällossningstid.,0,>20-50 meter,NR,Måns-Olasberg (2002829),2002829,,,60.0789281,12.6211471,https://www.openstreetmap.org/?mlat=60.0789281&mlon=12.6211471#map=18/60.0789281/12.6211471,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,60.0789281,12.6211471););out center;"
33779312,30540635,Vägbom till Måns-Olasberg,Vägbom,Vägbom,Vägbommen kan vara stängd i tjällossningstid.,0,>20-50 meter,NR,Måns-Olasberg (2002829),2002829,,,60.0982103,12.7377392,https://www.openstreetmap.org/?mlat=60.0982103&mlon=12.7377392#map=18/60.0982103/12.7377392,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,60.0982103,12.7377392););out center;"
33771287,30538821,Vägbom Kotjärnsterrassen,Vägbom,Vägbom,,0,<= 20 meter,"NR, NVO","Brattforsheden (2002222), Kittelfältet (2002143)","2002222, 2002143",,,59.6557007,13.9483626,https://www.openstreetmap.org/?mlat=59.6557007&mlon=13.9483626#map=18/59.6557007/13.9483626,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.6557007,13.9483626););out center;"
33781005,30536370,"Förbudsskylt ""Förbud mot trafik med fordon"".",Vägbom,Vägbom,"Förbudsskylt ""Förbud mot trafik med fordon"".",0,Okänd noggrannhet,NR,Blomsterhultsmossens domänreservat (2002218),2002218,,,59.2410388,14.2228092,https://www.openstreetmap.org/?mlat=59.2410388&mlon=14.2228092#map=18/59.2410388/14.2228092,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.2410388,14.2228092););out center;"
