OBJECTID,GEOMETRIKVALITET,LED_ID,LEDNAMN,BESKRIVNING,LEDMARKERING,LEDTYP,LEDKATEGORI,STATLIGLED,STATLIGLED_ID,SKYDDATOMRADE,SKYDDATOMRADE_ID,LEDLANGD,SHAPE.LEN,latitude_wgs84,longitude_wgs84,osm_link,osm_nearby_link
12347649,Okänd noggrannhet,30207711,Led Hygntornet,Lättgången led på flack mark genom öppna marker ut till stora fågeltornet.,,Vandringsled,Barmarksled,,,Inre Kilsviken (2002209),2002209,933,933.252884865883,59.1187549,14.0863972,https://www.openstreetmap.org/?mlat=59.1187549&mlon=14.0863972#map=18/59.1187549/14.0863972,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.1187549,14.0863972););out center;"
12345319,Okänd noggrannhet,30208094,Led Åbengtshöjden,Leden går genom kuperad skogsterräng.,Orange markering på träd,Vandringsled,Barmarksled,,,Åbengtshöjden (2002227),2002227,4039,4038.95449174816,59.8157852,14.3724493,https://www.openstreetmap.org/?mlat=59.8157852&mlon=14.3724493#map=18/59.8157852/14.3724493,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.8157852,14.3724493););out center;"
12348897,>20-50 meter,30207434,Led Högbergsfältet,"Led med mycket stor variation. Stora delar av leden har breda, lättgångna stigar/vägar. I de skogliga delarna är leden mer kuperad. Delar av leden går genom betesmarker.",Orange markering på stolpar och träd,Vandringsled,Barmarksled,,,Högbergsfältet (2002137),2002137,4672,259.40319261292,59.7414318,14.2849131,https://www.openstreetmap.org/?mlat=59.7414318&mlon=14.2849131#map=18/59.7414318/14.2849131,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.7414318,14.2849131););out center;"
12351843,>20-50 meter,30207434,Led Högbergsfältet,"Led med mycket stor variation. Stora delar av leden har breda, lättgångna stigar/vägar. I de skogliga delarna är leden mer kuperad. Delar av leden går genom betesmarker.",Orange markering på stolpar och träd,Vandringsled,Barmarksled,,,Högbergsfältet (2002137),2002137,4672,470.864921340946,59.7478581,14.2901482,https://www.openstreetmap.org/?mlat=59.7478581&mlon=14.2901482#map=18/59.7478581/14.2901482,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.7478581,14.2901482););out center;"
12351841,>20-50 meter,30207434,Led Högbergsfältet,"Led med mycket stor variation. Stora delar av leden har breda, lättgångna stigar/vägar. I de skogliga delarna är leden mer kuperad. Delar av leden går genom betesmarker.",Orange markering på stolpar och träd,Vandringsled,Barmarksled,,,Högbergsfältet (2002137),2002137,4672,8.12618292927251,59.7421434,14.2868238,https://www.openstreetmap.org/?mlat=59.7421434&mlon=14.2868238#map=18/59.7421434/14.2868238,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.7421434,14.2868238););out center;"
12351840,>20-50 meter,30207434,Led Högbergsfältet,"Led med mycket stor variation. Stora delar av leden har breda, lättgångna stigar/vägar. I de skogliga delarna är leden mer kuperad. Delar av leden går genom betesmarker.",Orange markering på stolpar och träd,Vandringsled,Barmarksled,,,Högbergsfältet (2002137),2002137,4672,121.269698892166,59.74671,14.2871202,https://www.openstreetmap.org/?mlat=59.74671&mlon=14.2871202#map=18/59.74671/14.2871202,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.74671,14.2871202););out center;"
12351838,>20-50 meter,30207434,Led Högbergsfältet,"Led med mycket stor variation. Stora delar av leden har breda, lättgångna stigar/vägar. I de skogliga delarna är leden mer kuperad. Delar av leden går genom betesmarker.",Orange markering på stolpar och träd,Vandringsled,Barmarksled,,,Högbergsfältet (2002137),2002137,4672,185.14126183244,59.7424922,14.2793439,https://www.openstreetmap.org/?mlat=59.7424922&mlon=14.2793439#map=18/59.7424922/14.2793439,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.7424922,14.2793439););out center;"
12351837,>20-50 meter,30207434,Led Högbergsfältet,"Led med mycket stor variation. Stora delar av leden har breda, lättgångna stigar/vägar. I de skogliga delarna är leden mer kuperad. Delar av leden går genom betesmarker.",Orange markering på stolpar och träd,Vandringsled,Barmarksled,,,Högbergsfältet (2002137),2002137,4672,353.709158662112,59.7448566,14.2879539,https://www.openstreetmap.org/?mlat=59.7448566&mlon=14.2879539#map=18/59.7448566/14.2879539,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.7448566,14.2879539););out center;"
12351836,>20-50 meter,30207434,Led Högbergsfältet,"Led med mycket stor variation. Stora delar av leden har breda, lättgångna stigar/vägar. I de skogliga delarna är leden mer kuperad. Delar av leden går genom betesmarker.",Orange markering på stolpar och träd,Vandringsled,Barmarksled,,,Högbergsfältet (2002137),2002137,4672,125.945521916534,59.7457568,14.2877638,https://www.openstreetmap.org/?mlat=59.7457568&mlon=14.2877638#map=18/59.7457568/14.2877638,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.7457568,14.2877638););out center;"
12355102,>20-50 meter,30207434,Led Högbergsfältet,"Led med mycket stor variation. Stora delar av leden har breda, lättgångna stigar/vägar. I de skogliga delarna är leden mer kuperad. Delar av leden går genom betesmarker.",Orange markering på stolpar och träd,Vandringsled,Barmarksled,,,Högbergsfältet (2002137),2002137,4672,52.7298564340994,59.7422765,14.2871481,https://www.openstreetmap.org/?mlat=59.7422765&mlon=14.2871481#map=18/59.7422765/14.2871481,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.7422765,14.2871481););out center;"
