NVRID,NAMN,DATA_FRILUFTSLIV_PUBLICERAT,latitude_wgs84,longitude_wgs84,osm_link,osm_nearby_link
2011415,Kåreholm och Kartarna,Nej,56.9638112,16.8982539,https://www.openstreetmap.org/?mlat=56.9638112&mlon=16.8982539#map=18/56.9638112/16.8982539,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,56.9638112,16.8982539););out center;"
2014384,Östermoskogen,Ja,57.5044166,14.1721119,https://www.openstreetmap.org/?mlat=57.5044166&mlon=14.1721119#map=18/57.5044166/14.1721119,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,57.5044166,14.1721119););out center;"
2011931,Idegranar,Nej,56.6977249,16.5045067,https://www.openstreetmap.org/?mlat=56.6977249&mlon=16.5045067#map=18/56.6977249/16.5045067,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,56.6977249,16.5045067););out center;"
2201506,Svartliden,Nej,64.7447277,17.8957113,https://www.openstreetmap.org/?mlat=64.7447277&mlon=17.8957113#map=18/64.7447277/17.8957113,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,64.7447277,17.8957113););out center;"
2003657,Kuggaskär,Nej,56.0477634,15.7869297,https://www.openstreetmap.org/?mlat=56.0477634&mlon=15.7869297#map=18/56.0477634/15.7869297,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,56.0477634,15.7869297););out center;"
2052762,Månhult,Ja,58.0700299,15.359581,https://www.openstreetmap.org/?mlat=58.0700299&mlon=15.359581#map=18/58.0700299/15.359581,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,58.0700299,15.359581););out center;"
2002477,Prästskogsstugan,Nej,61.4046397,14.0337174,https://www.openstreetmap.org/?mlat=61.4046397&mlon=14.0337174#map=18/61.4046397/14.0337174,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,61.4046397,14.0337174););out center;"
2000892,Önet,Ja,63.3252254,14.2285553,https://www.openstreetmap.org/?mlat=63.3252254&mlon=14.2285553#map=18/63.3252254/14.2285553,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,63.3252254,14.2285553););out center;"
2055946,Stora mossen,Ja,58.8474271,15.6228143,https://www.openstreetmap.org/?mlat=58.8474271&mlon=15.6228143#map=18/58.8474271/15.6228143,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,58.8474271,15.6228143););out center;"
2200010,Lövberget,Nej,60.8334937,12.6366993,https://www.openstreetmap.org/?mlat=60.8334937&mlon=12.6366993#map=18/60.8334937/12.6366993,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,60.8334937,12.6366993););out center;"
2001432,Eskilstorps ormgranar,Ja,57.7351813,14.4261479,https://www.openstreetmap.org/?mlat=57.7351813&mlon=14.4261479#map=18/57.7351813/14.4261479,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,57.7351813,14.4261479););out center;"
2060961,Hjärtareds naturreservat,Ja,57.1711358,12.6861565,https://www.openstreetmap.org/?mlat=57.1711358&mlon=12.6861565#map=18/57.1711358/12.6861565,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,57.1711358,12.6861565););out center;"
2043346,Hällsö,Nej,58.7465597,11.1638404,https://www.openstreetmap.org/?mlat=58.7465597&mlon=11.1638404#map=18/58.7465597/11.1638404,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,58.7465597,11.1638404););out center;"
2000509,"Holme,  Ånarp",Nej,57.5338107,13.1924738,https://www.openstreetmap.org/?mlat=57.5338107&mlon=13.1924738#map=18/57.5338107/13.1924738,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,57.5338107,13.1924738););out center;"
2029552,Äskerödskärret,Nej,55.7811255,14.119286,https://www.openstreetmap.org/?mlat=55.7811255&mlon=14.119286#map=18/55.7811255/14.119286,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,55.7811255,14.119286););out center;"
2013386,Abborrtjärnberget,Ja,65.0275585,19.7110049,https://www.openstreetmap.org/?mlat=65.0275585&mlon=19.7110049#map=18/65.0275585/19.7110049,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,65.0275585,19.7110049););out center;"
2049241,Rotsjöns naturreservat,Nej,61.0000897,15.9323879,https://www.openstreetmap.org/?mlat=61.0000897&mlon=15.9323879#map=18/61.0000897/15.9323879,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,61.0000897,15.9323879););out center;"
2011096,Ö i sjön Tisnaren,Nej,58.9255227,16.0569973,https://www.openstreetmap.org/?mlat=58.9255227&mlon=16.0569973#map=18/58.9255227/16.0569973,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,58.9255227,16.0569973););out center;"
2001522,Rövarekulan,Ja,55.7947348,13.4972293,https://www.openstreetmap.org/?mlat=55.7947348&mlon=13.4972293#map=18/55.7947348/13.4972293,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,55.7947348,13.4972293););out center;"
2003675,Rönneskär,Nej,56.1299215,15.3828395,https://www.openstreetmap.org/?mlat=56.1299215&mlon=15.3828395#map=18/56.1299215/15.3828395,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,56.1299215,15.3828395););out center;"
2045211,Karshult,Nej,58.5769753,15.1007318,https://www.openstreetmap.org/?mlat=58.5769753&mlon=15.1007318#map=18/58.5769753/15.1007318,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,58.5769753,15.1007318););out center;"
2025533,Hattefurans sydostskär,Nej,58.7191861,13.155699,https://www.openstreetmap.org/?mlat=58.7191861&mlon=13.155699#map=18/58.7191861/13.155699,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,58.7191861,13.155699););out center;"
2052801,Bojsvätar södra,Ja,57.6828677,18.7318515,https://www.openstreetmap.org/?mlat=57.6828677&mlon=18.7318515#map=18/57.6828677/18.7318515,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,57.6828677,18.7318515););out center;"
2025518,Lyngholmsskären,Nej,58.9234411,11.1051274,https://www.openstreetmap.org/?mlat=58.9234411&mlon=11.1051274#map=18/58.9234411/11.1051274,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,58.9234411,11.1051274););out center;"
2014955,Åby sandbackar,Ja,56.5846126,16.6513262,https://www.openstreetmap.org/?mlat=56.5846126&mlon=16.6513262#map=18/56.5846126/16.6513262,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,56.5846126,16.6513262););out center;"
2011176,Kalen,Nej,58.1354465,16.9080934,https://www.openstreetmap.org/?mlat=58.1354465&mlon=16.9080934#map=18/58.1354465/16.9080934,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,58.1354465,16.9080934););out center;"
