OBJECTID,STATLIGLED,STATLIGLEDNAMN,SHAPE.LEN,latitude_wgs84,longitude_wgs84,osm_link,osm_nearby_link
12348588,Z 59,Vålådalen - Vålåstugorna (justerad),985.5343687006,63.0766141,12.8152322,https://www.openstreetmap.org/?mlat=63.0766141&mlon=12.8152322#map=18/63.0766141/12.8152322,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,63.0766141,12.8152322););out center;"
12348587,Z 59,Vålådalen - Vålåstugorna (justerad),3766.9228843242,63.0586371,12.7972064,https://www.openstreetmap.org/?mlat=63.0586371&mlon=12.7972064#map=18/63.0586371/12.7972064,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,63.0586371,12.7972064););out center;"
12348586,Z 59,Vålådalen - Vålåstugorna (justerad),2391.08898962359,63.1451394,12.9053434,https://www.openstreetmap.org/?mlat=63.1451394&mlon=12.9053434#map=18/63.1451394/12.9053434,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,63.1451394,12.9053434););out center;"
12348585,Z 59,Vålådalen - Vålåstugorna (justerad),2523.90354420842,63.1476311,12.9440732,https://www.openstreetmap.org/?mlat=63.1476311&mlon=12.9440732#map=18/63.1476311/12.9440732,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,63.1476311,12.9440732););out center;"
12348553,Z 59,Vålådalen - Vålåstugorna (justerad),8137.13979601537,63.111975,12.8354133,https://www.openstreetmap.org/?mlat=63.111975&mlon=12.8354133#map=18/63.111975/12.8354133,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,63.111975,12.8354133););out center;"
12348552,Z 59,Vålådalen - Vålåstugorna (justerad),192.041970521265,63.0719249,12.8127056,https://www.openstreetmap.org/?mlat=63.0719249&mlon=12.8127056#map=18/63.0719249/12.8127056,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,63.0719249,12.8127056););out center;"
12348551,Z 59,Vålådalen - Vålåstugorna (justerad),1300.29177373662,63.1334926,12.8818043,https://www.openstreetmap.org/?mlat=63.1334926&mlon=12.8818043#map=18/63.1334926/12.8818043,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,63.1334926,12.8818043););out center;"
12344819,Z 70,Spjätten - Grottärn,3.13001086260096,63.1357782,13.6878889,https://www.openstreetmap.org/?mlat=63.1357782&mlon=13.6878889#map=18/63.1357782/13.6878889,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,63.1357782,13.6878889););out center;"
12344818,Z 70,Spjätten - Grottärn,350.629880667136,63.1131076,13.7157641,https://www.openstreetmap.org/?mlat=63.1131076&mlon=13.7157641#map=18/63.1131076/13.7157641,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,63.1131076,13.7157641););out center;"
12344817,Z 70,Spjätten - Grottärn,18.0827410012973,63.1359526,13.6877356,https://www.openstreetmap.org/?mlat=63.1359526&mlon=13.6877356#map=18/63.1359526/13.6877356,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,63.1359526,13.6877356););out center;"
12344816,Z 70,Spjätten - Grottärn,7.58997416925776,63.1353199,13.6882974,https://www.openstreetmap.org/?mlat=63.1353199&mlon=13.6882974#map=18/63.1353199/13.6882974,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,63.1353199,13.6882974););out center;"
12344815,Z 70,Spjätten - Grottärn,0.492411311811579,63.1766069,13.6517299,https://www.openstreetmap.org/?mlat=63.1766069&mlon=13.6517299#map=18/63.1766069/13.6517299,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,63.1766069,13.6517299););out center;"
