OBJECTID,ANORDNING_ID,ANORDNINGNAMN,TYP,UNDERTYP,BESKRIVNING,NP,GEOMETRIKVALITET,SKYDDSTYP_KOD,SKYDDATOMRADE,SKYDDATOMRADE_ID,STATLIGLED,STATLIGLED_ID,metadata_json,longitude_wgs84,latitude_wgs84,geometry_type,length_m,area_m2,osm_link,osm_link_source,wikidata_id,wikidata_link,dataset
33776721,30335917,,Fyr,Fyr,,1,<= 20 meter,NP,Stenshuvud (2001830),2001830,,,"{""OBJECTID"": 33776721, ""ANORDNING_ID"": ""30335917"", ""ANORDNINGNAMN"": null, ""TYP"": ""Fyr"", ""UNDERTYP"": ""Fyr"", ""BESKRIVNING"": null, ""NP"": 1, ""GEOMETRIKVALITET"": ""<= 20 meter"", ""SKYDDSTYP_KOD"": ""NP"", ""SKYDDATOMRADE"": ""Stenshuvud (2001830)"", ""SKYDDATOMRADE_ID"": ""2001830"", ""STATLIGLED"": null, ""STATLIGLED_ID"": null}",14.2778371293552,55.66404296133488,Point,0.0,0.0,https://www.openstreetmap.org/?mlat=55.6640430&mlon=14.2778371#map=18/55.6640430/14.2778371,coordinate_fallback,,,anordningar
33788626,30474194,,Fyr,Fyr,,0,<= 20 meter,"N2000-SPA/SCI, NR","Kullaberg (SE0430092), Västra Kullaberg (2000972)","SE0430092, 2000972",,,"{""OBJECTID"": 33788626, ""ANORDNING_ID"": ""30474194"", ""ANORDNINGNAMN"": null, ""TYP"": ""Fyr"", ""UNDERTYP"": ""Fyr"", ""BESKRIVNING"": null, ""NP"": 0, ""GEOMETRIKVALITET"": ""<= 20 meter"", ""SKYDDSTYP_KOD"": ""N2000-SPA/SCI, NR"", ""SKYDDATOMRADE"": ""Kullaberg (SE0430092), Västra Kullaberg (2000972)"", ""SKYDDATOMRADE_ID"": ""SE0430092, 2000972"", ""STATLIGLED"": null, ""STATLIGLED_ID"": null}",12.451603663050724,56.300966774257134,Point,0.0,0.0,https://www.openstreetmap.org/?mlat=56.3009668&mlon=12.4516037#map=18/56.3009668/12.4516037,coordinate_fallback,,,anordningar
33781407,30467932,,Fyr,Fyr,,0,<= 20 meter,"DVO, N2000-SPA/SCI, NR","Bjärehalvöns kuster (2031810), Hallands Väderö (2000962), Hallands Väderö (SE0420002)","2031810, 2000962, SE0420002",,,"{""OBJECTID"": 33781407, ""ANORDNING_ID"": ""30467932"", ""ANORDNINGNAMN"": null, ""TYP"": ""Fyr"", ""UNDERTYP"": ""Fyr"", ""BESKRIVNING"": null, ""NP"": 0, ""GEOMETRIKVALITET"": ""<= 20 meter"", ""SKYDDSTYP_KOD"": ""DVO, N2000-SPA/SCI, NR"", ""SKYDDATOMRADE"": ""Bjärehalvöns kuster (2031810), Hallands Väderö (2000962), Hallands Väderö (SE0420002)"", ""SKYDDATOMRADE_ID"": ""2031810, 2000962, SE0420002"", ""STATLIGLED"": null, ""STATLIGLED_ID"": null}",12.542535472764493,56.45063676411297,Point,0.0,0.0,https://www.openstreetmap.org/?mlat=56.4506368&mlon=12.5425355#map=18/56.4506368/12.5425355,coordinate_fallback,,,anordningar
33778187,30208827,Vägbom med kodlås,Vägbom,Vägbom,"Bomen får passeras för transport av personer med fysisk funktionsnedsättning. Ring Länsstyrelsens växel 010-224 70 00 för bomkod. Uppge namn, registreringsnummer och ärende.",0,<= 20 meter,NR,Segerstads skärgård (2002165),2002165,,,"{""OBJECTID"": 33778187, ""ANORDNING_ID"": ""30208827"", ""ANORDNINGNAMN"": ""Vägbom med kodlås"", ""TYP"": ""Vägbom"", ""UNDERTYP"": ""Vägbom"", ""BESKRIVNING"": ""Bomen får passeras för transport av personer med fysisk funktionsnedsättning. Ring Länsstyrelsens växel 010-224 70 00 för bomkod. Uppge namn, registreringsnummer och ärende."", ""NP"": 0, ""GEOMETRIKVALITET"": ""<= 20 meter"", ""SKYDDSTYP_KOD"": ""NR"", ""SKYDDATOMRADE"": ""Segerstads skärgård (2002165)"", ""SKYDDATOMRADE_ID"": ""2002165"", ""STATLIGLED"": null, ""STATLIGLED_ID"": null}",13.29604357708187,59.29788849050402,Point,0.0,0.0,https://www.openstreetmap.org/?mlat=59.2978885&mlon=13.2960436#map=18/59.2978885/13.2960436,coordinate_fallback,,,anordningar
33785368,30570893,,Vägbom,Vägbom,,0,<= 20 meter,"N2000-SCI, NR","Gyllebo (2014529), Gyllebosjön (SE0420305)","2014529, SE0420305",,,"{""OBJECTID"": 33785368, ""ANORDNING_ID"": ""30570893"", ""ANORDNINGNAMN"": null, ""TYP"": ""Vägbom"", ""UNDERTYP"": ""Vägbom"", ""BESKRIVNING"": null, ""NP"": 0, ""GEOMETRIKVALITET"": ""<= 20 meter"", ""SKYDDSTYP_KOD"": ""N2000-SCI, NR"", ""SKYDDATOMRADE"": ""Gyllebo (2014529), Gyllebosjön (SE0420305)"", ""SKYDDATOMRADE_ID"": ""2014529, SE0420305"", ""STATLIGLED"": null, ""STATLIGLED_ID"": null}",14.198595393743636,55.60271722871923,Point,0.0,0.0,https://www.openstreetmap.org/?mlat=55.6027172&mlon=14.1985954#map=18/55.6027172/14.1985954,coordinate_fallback,,,anordningar
33772787,30562476,,Vägbom,Vägbom,,0,<= 20 meter,NR,Hästenäs kyrkskog (2004572),2004572,,,"{""OBJECTID"": 33772787, ""ANORDNING_ID"": ""30562476"", ""ANORDNINGNAMN"": null, ""TYP"": ""Vägbom"", ""UNDERTYP"": ""Vägbom"", ""BESKRIVNING"": null, ""NP"": 0, ""GEOMETRIKVALITET"": ""<= 20 meter"", ""SKYDDSTYP_KOD"": ""NR"", ""SKYDDATOMRADE"": ""Hästenäs kyrkskog (2004572)"", ""SKYDDATOMRADE_ID"": ""2004572"", ""STATLIGLED"": null, ""STATLIGLED_ID"": null}",16.26100917051255,58.271699321497934,Point,0.0,0.0,https://www.openstreetmap.org/?mlat=58.2716993&mlon=16.2610092#map=18/58.2716993/16.2610092,coordinate_fallback,,,anordningar
33788228,30562364,,Vägbom,Vägbom,,0,<= 20 meter,NR,Ågelsjön (2043608),2043608,,,"{""OBJECTID"": 33788228, ""ANORDNING_ID"": ""30562364"", ""ANORDNINGNAMN"": null, ""TYP"": ""Vägbom"", ""UNDERTYP"": ""Vägbom"", ""BESKRIVNING"": null, ""NP"": 0, ""GEOMETRIKVALITET"": ""<= 20 meter"", ""SKYDDSTYP_KOD"": ""NR"", ""SKYDDATOMRADE"": ""Ågelsjön (2043608)"", ""SKYDDATOMRADE_ID"": ""2043608"", ""STATLIGLED"": null, ""STATLIGLED_ID"": null}",16.120040349914316,58.6733472185078,Point,0.0,0.0,https://www.openstreetmap.org/?mlat=58.6733472&mlon=16.1200403#map=18/58.6733472/16.1200403,coordinate_fallback,,,anordningar
33789997,30557502,,Vägbom,Vägbom,,0,Okänd noggrannhet,NR,Nynäs (2001921),2001921,,,"{""OBJECTID"": 33789997, ""ANORDNING_ID"": ""30557502"", ""ANORDNINGNAMN"": null, ""TYP"": ""Vägbom"", ""UNDERTYP"": ""Vägbom"", ""BESKRIVNING"": null, ""NP"": 0, ""GEOMETRIKVALITET"": ""Okänd noggrannhet"", ""SKYDDSTYP_KOD"": ""NR"", ""SKYDDATOMRADE"": ""Nynäs (2001921)"", ""SKYDDATOMRADE_ID"": ""2001921"", ""STATLIGLED"": null, ""STATLIGLED_ID"": null}",17.344025238976712,58.81078757454806,Point,0.0,0.0,https://www.openstreetmap.org/?mlat=58.8107876&mlon=17.3440252#map=18/58.8107876/17.3440252,coordinate_fallback,,,anordningar
33781659,30540649,Stängd vägbom Vålhallberget,Vägbom,Vägbom,Vägbommen är stängd och låst.,0,<= 20 meter,NR,Vålhallberget (2014561),2014561,,,"{""OBJECTID"": 33781659, ""ANORDNING_ID"": ""30540649"", ""ANORDNINGNAMN"": ""Stängd vägbom Vålhallberget"", ""TYP"": ""Vägbom"", ""UNDERTYP"": ""Vägbom"", ""BESKRIVNING"": ""Vägbommen är stängd och låst."", ""NP"": 0, ""GEOMETRIKVALITET"": ""<= 20 meter"", ""SKYDDSTYP_KOD"": ""NR"", ""SKYDDATOMRADE"": ""Vålhallberget (2014561)"", ""SKYDDATOMRADE_ID"": ""2014561"", ""STATLIGLED"": null, ""STATLIGLED_ID"": null}",12.850426563339918,60.856266947629564,Point,0.0,0.0,https://www.openstreetmap.org/?mlat=60.8562669&mlon=12.8504266#map=18/60.8562669/12.8504266,coordinate_fallback,,,anordningar
33785038,30540645,"Vägbom Tijärnsskogen, Dörrfjället",Vägbom,Vägbom,Vägbommen är stängd i tjällossningstid.,0,>20-50 meter,"NR, NR","Dörrfjället (2042566), Titjärnsskogen (2002123)","2042566, 2002123",,,"{""OBJECTID"": 33785038, ""ANORDNING_ID"": ""30540645"", ""ANORDNINGNAMN"": ""Vägbom Tijärnsskogen, Dörrfjället"", ""TYP"": ""Vägbom"", ""UNDERTYP"": ""Vägbom"", ""BESKRIVNING"": ""Vägbommen är stängd i tjällossningstid."", ""NP"": 0, ""GEOMETRIKVALITET"": "">20-50 meter"", ""SKYDDSTYP_KOD"": ""NR, NR"", ""SKYDDATOMRADE"": ""Dörrfjället (2042566), Titjärnsskogen (2002123)"", ""SKYDDATOMRADE_ID"": ""2042566, 2002123"", ""STATLIGLED"": null, ""STATLIGLED_ID"": null}",13.273160225139666,60.30129556414768,Point,0.0,0.0,https://www.openstreetmap.org/?mlat=60.3012956&mlon=13.2731602#map=18/60.3012956/13.2731602,coordinate_fallback,,,anordningar
