TYP,UNDERTYP,SKYDDSTYP_KOD,count
Information,Områdesskyddsinformation,NR,6177
Parkering,Parkering,NR,2609
Rastplats,Bänkbord,NR,1213
Eldstad,Eldstad,NR,1207
Dass,Dass,NR,757
Information,Platsinformation,NR,668
Rastplats,Bänk ,NR,656
Vindskydd,Vindskydd,NR,575
Information,Områdesskyddsinformation,"N2000-SCI, NR",369
Rastplats,Bord,NR,308
Bro,Bro,NR,235
Bro,Bro,<NULL>,217
Utsikt,Utsikt,NR,213
Soptunna,Soptunna,NR,208
Information,Områdesskyddsinformation,NP,172
Rastplats,Bänkbord,"N2000-SCI, NR",172
Grind,Grind,NR,163
Information,Okänd,NR,159
Vedförvaring/vedbod,Vedförvaring/vedbod,NR,152
Stätta,Stätta,NR,128
Parkering,Parkering,"N2000-SCI, NR",124
Information,Områdesskyddsinformation,"N2000-SPA/SCI, NR",124
Information,Områdesskyddsinformation,NVO,124
Brygga,Brygga,NR,119
Bro,Bro,"N2000-SPA/SCI, NR",114
Fågeltorn,Fågeltorn,NR,113
Eldstad,Eldstad,NP,101
Bro,Hängbro,<NULL>,95
Raststuga,Raststuga,NR,94
Rastplats,Bänkbord,NP,88
Parkering för rörelsehindrade,Parkering för rörelsehindrade,NR,88
Dass,Dass,NP,84
Eldstad,Eldstad,"N2000-SCI, NR",81
Eldstad,Eldstad,"N2000-SPA/SCI, NR",80
Rastskydd,Rastskydd,<NULL>,75
Badplats,Badplats,NR,73
Hållplats,Hållplats,NR,72
Information,Platsinformation,"N2000-SCI, NR",70
Dass,Dass,<NULL>,65
Observationsplattform,Observationsplattform,NR,64
Information,Platsinformation,NP,64
Parkering,Parkering,NP,64
Dass,Dass,"N2000-SCI, NR",62
Information,Karta,NR,61
Toalett,Toalett,NR,61
Rastplats,Bänk ,"N2000-SCI, NR",60
Rastplats,Bänkbord,"N2000-SPA/SCI, NR",57
Parkering,Parkering,NVO,56
Vägbom,Vägbom,NR,53
Parkering,Parkering,"N2000-SPA/SCI, NR",50
Vindskydd,Vindskydd,"N2000-SCI, NR",49
Dass,Dass,"N2000-SPA/SCI, NR",46
Parkering,Parkering,"NR, NR",45
Vindskydd,Vindskydd,NP,45
Information,Områdesskyddsinformation,"NR, NR",44
Rastplats,Bänk ,"N2000-SPA/SCI, NP",42
Rastplats,Bänk ,NP,41
Rastplats,Bänk ,"N2000-SPA/SCI, NR",40
