OBJECTID,GEOMETRIKVALITET,LED_ID,LEDNAMN,BESKRIVNING,LEDMARKERING,LEDTYP,LEDKATEGORI,STATLIGLED,STATLIGLED_ID,SKYDDATOMRADE,SKYDDATOMRADE_ID,LEDLANGD,SHAPE.LEN,metadata_json,longitude_wgs84,latitude_wgs84,geometry_type,length_m,area_m2,osm_link,osm_link_source,wikidata_id,wikidata_link,dataset
12347649,Okänd noggrannhet,30207711,Led Hygntornet,Lättgången led på flack mark genom öppna marker ut till stora fågeltornet.,,Vandringsled,Barmarksled,,,Inre Kilsviken (2002209),2002209,933,933.252884865883,"{""OBJECTID"": 12347649, ""GEOMETRIKVALITET"": ""Okänd noggrannhet"", ""LED_ID"": ""30207711"", ""LEDNAMN"": ""Led Hygntornet"", ""BESKRIVNING"": ""Lättgången led på flack mark genom öppna marker ut till stora fågeltornet."", ""LEDMARKERING"": null, ""LEDTYP"": ""Vandringsled"", ""LEDKATEGORI"": ""Barmarksled"", ""STATLIGLED"": null, ""STATLIGLED_ID"": null, ""SKYDDATOMRADE"": ""Inre Kilsviken (2002209)"", ""SKYDDATOMRADE_ID"": ""2002209"", ""LEDLANGD"": 933, ""SHAPE.LEN"": 933.252884865883}",14.086806124320049,59.118532719216184,LineString,933.2528848658666,0.0,https://www.openstreetmap.org/?mlat=59.1185327&mlon=14.0868061#map=18/59.1185327/14.0868061,coordinate_fallback,,,leder
12345319,Okänd noggrannhet,30208094,Led Åbengtshöjden,Leden går genom kuperad skogsterräng.,Orange markering på träd,Vandringsled,Barmarksled,,,Åbengtshöjden (2002227),2002227,4039,4038.95449174816,"{""OBJECTID"": 12345319, ""GEOMETRIKVALITET"": ""Okänd noggrannhet"", ""LED_ID"": ""30208094"", ""LEDNAMN"": ""Led Åbengtshöjden"", ""BESKRIVNING"": ""Leden går genom kuperad skogsterräng."", ""LEDMARKERING"": ""Orange markering på träd"", ""LEDTYP"": ""Vandringsled"", ""LEDKATEGORI"": ""Barmarksled"", ""STATLIGLED"": null, ""STATLIGLED_ID"": null, ""SKYDDATOMRADE"": ""Åbengtshöjden (2002227)"", ""SKYDDATOMRADE_ID"": ""2002227"", ""LEDLANGD"": 4039, ""SHAPE.LEN"": 4038.95449174816}",14.371673233368965,59.813046995472504,LineString,4038.9544917501503,0.0,https://www.openstreetmap.org/?mlat=59.8130470&mlon=14.3716732#map=18/59.8130470/14.3716732,coordinate_fallback,,,leder
12348897,>20-50 meter,30207434,Led Högbergsfältet,"Led med mycket stor variation. Stora delar av leden har breda, lättgångna stigar/vägar. I de skogliga delarna är leden mer kuperad. Delar av leden går genom betesmarker.",Orange markering på stolpar och träd,Vandringsled,Barmarksled,,,Högbergsfältet (2002137),2002137,4672,259.40319261292,"{""OBJECTID"": 12348897, ""GEOMETRIKVALITET"": "">20-50 meter"", ""LED_ID"": ""30207434"", ""LEDNAMN"": ""Led Högbergsfältet"", ""BESKRIVNING"": ""Led med mycket stor variation. Stora delar av leden har breda, lättgångna stigar/vägar. I de skogliga delarna är leden mer kuperad. Delar av leden går genom betesmarker."", ""LEDMARKERING"": ""Orange markering på stolpar och träd"", ""LEDTYP"": ""Vandringsled"", ""LEDKATEGORI"": ""Barmarksled"", ""STATLIGLED"": null, ""STATLIGLED_ID"": null, ""SKYDDATOMRADE"": ""Högbergsfältet (2002137)"", ""SKYDDATOMRADE_ID"": ""2002137"", ""LEDLANGD"": 4672, ""SHAPE.LEN"": 259.40319261292}",14.284720814113214,59.74145405798886,LineString,259.40319261349407,0.0,https://www.openstreetmap.org/?mlat=59.7414541&mlon=14.2847208#map=18/59.7414541/14.2847208,coordinate_fallback,,,leder
12351843,>20-50 meter,30207434,Led Högbergsfältet,"Led med mycket stor variation. Stora delar av leden har breda, lättgångna stigar/vägar. I de skogliga delarna är leden mer kuperad. Delar av leden går genom betesmarker.",Orange markering på stolpar och träd,Vandringsled,Barmarksled,,,Högbergsfältet (2002137),2002137,4672,470.864921340946,"{""OBJECTID"": 12351843, ""GEOMETRIKVALITET"": "">20-50 meter"", ""LED_ID"": ""30207434"", ""LEDNAMN"": ""Led Högbergsfältet"", ""BESKRIVNING"": ""Led med mycket stor variation. Stora delar av leden har breda, lättgångna stigar/vägar. I de skogliga delarna är leden mer kuperad. Delar av leden går genom betesmarker."", ""LEDMARKERING"": ""Orange markering på stolpar och träd"", ""LEDTYP"": ""Vandringsled"", ""LEDKATEGORI"": ""Barmarksled"", ""STATLIGLED"": null, ""STATLIGLED_ID"": null, ""SKYDDATOMRADE"": ""Högbergsfältet (2002137)"", ""SKYDDATOMRADE_ID"": ""2002137"", ""LEDLANGD"": 4672, ""SHAPE.LEN"": 470.864921340946}",14.290039264114032,59.74785070847739,LineString,470.8649213386742,0.0,https://www.openstreetmap.org/?mlat=59.7478507&mlon=14.2900393#map=18/59.7478507/14.2900393,coordinate_fallback,,,leder
12351841,>20-50 meter,30207434,Led Högbergsfältet,"Led med mycket stor variation. Stora delar av leden har breda, lättgångna stigar/vägar. I de skogliga delarna är leden mer kuperad. Delar av leden går genom betesmarker.",Orange markering på stolpar och träd,Vandringsled,Barmarksled,,,Högbergsfältet (2002137),2002137,4672,8.12618292927251,"{""OBJECTID"": 12351841, ""GEOMETRIKVALITET"": "">20-50 meter"", ""LED_ID"": ""30207434"", ""LEDNAMN"": ""Led Högbergsfältet"", ""BESKRIVNING"": ""Led med mycket stor variation. Stora delar av leden har breda, lättgångna stigar/vägar. I de skogliga delarna är leden mer kuperad. Delar av leden går genom betesmarker."", ""LEDMARKERING"": ""Orange markering på stolpar och träd"", ""LEDTYP"": ""Vandringsled"", ""LEDKATEGORI"": ""Barmarksled"", ""STATLIGLED"": null, ""STATLIGLED_ID"": null, ""SKYDDATOMRADE"": ""Högbergsfältet (2002137)"", ""SKYDDATOMRADE_ID"": ""2002137"", ""LEDLANGD"": 4672, ""SHAPE.LEN"": 8.12618292927251}",14.286765820960795,59.74212156076143,LineString,8.126182929383216,0.0,https://www.openstreetmap.org/?mlat=59.7421216&mlon=14.2867658#map=18/59.7421216/14.2867658,coordinate_fallback,,,leder
12351840,>20-50 meter,30207434,Led Högbergsfältet,"Led med mycket stor variation. Stora delar av leden har breda, lättgångna stigar/vägar. I de skogliga delarna är leden mer kuperad. Delar av leden går genom betesmarker.",Orange markering på stolpar och träd,Vandringsled,Barmarksled,,,Högbergsfältet (2002137),2002137,4672,121.269698892166,"{""OBJECTID"": 12351840, ""GEOMETRIKVALITET"": "">20-50 meter"", ""LED_ID"": ""30207434"", ""LEDNAMN"": ""Led Högbergsfältet"", ""BESKRIVNING"": ""Led med mycket stor variation. Stora delar av leden har breda, lättgångna stigar/vägar. I de skogliga delarna är leden mer kuperad. Delar av leden går genom betesmarker."", ""LEDMARKERING"": ""Orange markering på stolpar och träd"", ""LEDTYP"": ""Vandringsled"", ""LEDKATEGORI"": ""Barmarksled"", ""STATLIGLED"": null, ""STATLIGLED_ID"": null, ""SKYDDATOMRADE"": ""Högbergsfältet (2002137)"", ""SKYDDATOMRADE_ID"": ""2002137"", ""LEDLANGD"": 4672, ""SHAPE.LEN"": 121.269698892166}",14.287054864093161,59.74671627692666,LineString,121.26969889295923,0.0,https://www.openstreetmap.org/?mlat=59.7467163&mlon=14.2870549#map=18/59.7467163/14.2870549,coordinate_fallback,,,leder
12351838,>20-50 meter,30207434,Led Högbergsfältet,"Led med mycket stor variation. Stora delar av leden har breda, lättgångna stigar/vägar. I de skogliga delarna är leden mer kuperad. Delar av leden går genom betesmarker.",Orange markering på stolpar och träd,Vandringsled,Barmarksled,,,Högbergsfältet (2002137),2002137,4672,185.14126183244,"{""OBJECTID"": 12351838, ""GEOMETRIKVALITET"": "">20-50 meter"", ""LED_ID"": ""30207434"", ""LEDNAMN"": ""Led Högbergsfältet"", ""BESKRIVNING"": ""Led med mycket stor variation. Stora delar av leden har breda, lättgångna stigar/vägar. I de skogliga delarna är leden mer kuperad. Delar av leden går genom betesmarker."", ""LEDMARKERING"": ""Orange markering på stolpar och träd"", ""LEDTYP"": ""Vandringsled"", ""LEDKATEGORI"": ""Barmarksled"", ""STATLIGLED"": null, ""STATLIGLED_ID"": null, ""SKYDDATOMRADE"": ""Högbergsfältet (2002137)"", ""SKYDDATOMRADE_ID"": ""2002137"", ""LEDLANGD"": 4672, ""SHAPE.LEN"": 185.14126183244}",14.279420750506121,59.74234648604398,LineString,185.14126183379707,0.0,https://www.openstreetmap.org/?mlat=59.7423465&mlon=14.2794208#map=18/59.7423465/14.2794208,coordinate_fallback,,,leder
12351837,>20-50 meter,30207434,Led Högbergsfältet,"Led med mycket stor variation. Stora delar av leden har breda, lättgångna stigar/vägar. I de skogliga delarna är leden mer kuperad. Delar av leden går genom betesmarker.",Orange markering på stolpar och träd,Vandringsled,Barmarksled,,,Högbergsfältet (2002137),2002137,4672,353.709158662112,"{""OBJECTID"": 12351837, ""GEOMETRIKVALITET"": "">20-50 meter"", ""LED_ID"": ""30207434"", ""LEDNAMN"": ""Led Högbergsfältet"", ""BESKRIVNING"": ""Led med mycket stor variation. Stora delar av leden har breda, lättgångna stigar/vägar. I de skogliga delarna är leden mer kuperad. Delar av leden går genom betesmarker."", ""LEDMARKERING"": ""Orange markering på stolpar och träd"", ""LEDTYP"": ""Vandringsled"", ""LEDKATEGORI"": ""Barmarksled"", ""STATLIGLED"": null, ""STATLIGLED_ID"": null, ""SKYDDATOMRADE"": ""Högbergsfältet (2002137)"", ""SKYDDATOMRADE_ID"": ""2002137"", ""LEDLANGD"": 4672, ""SHAPE.LEN"": 353.709158662112}",14.287798553321954,59.74475381960256,LineString,353.7091586620524,0.0,https://www.openstreetmap.org/?mlat=59.7447538&mlon=14.2877986#map=18/59.7447538/14.2877986,coordinate_fallback,,,leder
12351836,>20-50 meter,30207434,Led Högbergsfältet,"Led med mycket stor variation. Stora delar av leden har breda, lättgångna stigar/vägar. I de skogliga delarna är leden mer kuperad. Delar av leden går genom betesmarker.",Orange markering på stolpar och träd,Vandringsled,Barmarksled,,,Högbergsfältet (2002137),2002137,4672,125.945521916534,"{""OBJECTID"": 12351836, ""GEOMETRIKVALITET"": "">20-50 meter"", ""LED_ID"": ""30207434"", ""LEDNAMN"": ""Led Högbergsfältet"", ""BESKRIVNING"": ""Led med mycket stor variation. Stora delar av leden har breda, lättgångna stigar/vägar. I de skogliga delarna är leden mer kuperad. Delar av leden går genom betesmarker."", ""LEDMARKERING"": ""Orange markering på stolpar och träd"", ""LEDTYP"": ""Vandringsled"", ""LEDKATEGORI"": ""Barmarksled"", ""STATLIGLED"": null, ""STATLIGLED_ID"": null, ""SKYDDATOMRADE"": ""Högbergsfältet (2002137)"", ""SKYDDATOMRADE_ID"": ""2002137"", ""LEDLANGD"": 4672, ""SHAPE.LEN"": 125.945521916534}",14.287849544141155,59.74574827601401,LineString,125.94552191625722,0.0,https://www.openstreetmap.org/?mlat=59.7457483&mlon=14.2878495#map=18/59.7457483/14.2878495,coordinate_fallback,,,leder
12355102,>20-50 meter,30207434,Led Högbergsfältet,"Led med mycket stor variation. Stora delar av leden har breda, lättgångna stigar/vägar. I de skogliga delarna är leden mer kuperad. Delar av leden går genom betesmarker.",Orange markering på stolpar och träd,Vandringsled,Barmarksled,,,Högbergsfältet (2002137),2002137,4672,52.7298564340994,"{""OBJECTID"": 12355102, ""GEOMETRIKVALITET"": "">20-50 meter"", ""LED_ID"": ""30207434"", ""LEDNAMN"": ""Led Högbergsfältet"", ""BESKRIVNING"": ""Led med mycket stor variation. Stora delar av leden har breda, lättgångna stigar/vägar. I de skogliga delarna är leden mer kuperad. Delar av leden går genom betesmarker."", ""LEDMARKERING"": ""Orange markering på stolpar och träd"", ""LEDTYP"": ""Vandringsled"", ""LEDKATEGORI"": ""Barmarksled"", ""STATLIGLED"": null, ""STATLIGLED_ID"": null, ""SKYDDATOMRADE"": ""Högbergsfältet (2002137)"", ""SKYDDATOMRADE_ID"": ""2002137"", ""LEDLANGD"": 4672, ""SHAPE.LEN"": 52.7298564340994}",14.28719546684705,59.74229022060325,LineString,52.729856434618235,0.0,https://www.openstreetmap.org/?mlat=59.7422902&mlon=14.2871955#map=18/59.7422902/14.2871955,coordinate_fallback,,,leder
