NVRID,NAMN,DATA_FRILUFTSLIV_PUBLICERAT,metadata_json,longitude_wgs84,latitude_wgs84,geometry_type,length_m,area_m2,osm_link,osm_link_source,wikidata_id,wikidata_link,dataset
2011415,Kåreholm och Kartarna,Nej,"{""NVRID"": ""2011415"", ""NAMN"": ""Kåreholm och Kartarna"", ""DATA_FRILUFTSLIV_PUBLICERAT"": ""Nej""}",16.89832806401181,56.963203404340994,Polygon,2848.3168142040327,338331.52236961195,https://www.openstreetmap.org/?mlat=56.9632034&mlon=16.8983281#map=18/56.9632034/16.8983281,coordinate_fallback,,,publiceringsstatus
2014384,Östermoskogen,Ja,"{""NVRID"": ""2014384"", ""NAMN"": ""Östermoskogen"", ""DATA_FRILUFTSLIV_PUBLICERAT"": ""Ja""}",14.171565368421815,57.50414062536224,Polygon,4749.965846369554,318171.31708754366,https://www.openstreetmap.org/?mlat=57.5041406&mlon=14.1715654#map=18/57.5041406/14.1715654,coordinate_fallback,,,publiceringsstatus
2011931,Idegranar,Nej,"{""NVRID"": ""2011931"", ""NAMN"": ""Idegranar"", ""DATA_FRILUFTSLIV_PUBLICERAT"": ""Nej""}",16.50450665240038,56.69772489644591,Polygon,3.1403443232120702,0.7841428402973897,https://www.openstreetmap.org/?mlat=56.6977249&mlon=16.5045067#map=18/56.6977249/16.5045067,coordinate_fallback,,,publiceringsstatus
2201506,Svartliden,Nej,"{""NVRID"": ""2201506"", ""NAMN"": ""Svartliden"", ""DATA_FRILUFTSLIV_PUBLICERAT"": ""Nej""}",17.897177174875097,64.74443236890467,Polygon,3238.3130606944455,202464.92807287196,https://www.openstreetmap.org/?mlat=64.7444324&mlon=17.8971772#map=18/64.7444324/17.8971772,coordinate_fallback,,,publiceringsstatus
2003657,Kuggaskär,Nej,"{""NVRID"": ""2003657"", ""NAMN"": ""Kuggaskär"", ""DATA_FRILUFTSLIV_PUBLICERAT"": ""Nej""}",15.787041179704554,56.04753232367016,Polygon,1992.505203899251,174817.62213096887,https://www.openstreetmap.org/?mlat=56.0475323&mlon=15.7870412#map=18/56.0475323/15.7870412,coordinate_fallback,,,publiceringsstatus
2052762,Månhult,Ja,"{""NVRID"": ""2052762"", ""NAMN"": ""Månhult"", ""DATA_FRILUFTSLIV_PUBLICERAT"": ""Ja""}",15.360573655017507,58.07075279570315,Polygon,5560.546862748786,669120.7232557262,https://www.openstreetmap.org/?mlat=58.0707528&mlon=15.3605737#map=18/58.0707528/15.3605737,coordinate_fallback,,,publiceringsstatus
2002477,Prästskogsstugan,Nej,"{""NVRID"": ""2002477"", ""NAMN"": ""Prästskogsstugan"", ""DATA_FRILUFTSLIV_PUBLICERAT"": ""Nej""}",14.034604219314062,61.405314018306655,Polygon,961.8024078677096,53306.35922323683,https://www.openstreetmap.org/?mlat=61.4053140&mlon=14.0346042#map=18/61.4053140/14.0346042,coordinate_fallback,,,publiceringsstatus
2000892,Önet,Ja,"{""NVRID"": ""2000892"", ""NAMN"": ""Önet"", ""DATA_FRILUFTSLIV_PUBLICERAT"": ""Ja""}",14.226536981604081,63.32549389284882,Polygon,3256.2429635679023,364908.4971140304,https://www.openstreetmap.org/?mlat=63.3254939&mlon=14.2265370#map=18/63.3254939/14.2265370,coordinate_fallback,,,publiceringsstatus
2055946,Stora mossen,Ja,"{""NVRID"": ""2055946"", ""NAMN"": ""Stora mossen"", ""DATA_FRILUFTSLIV_PUBLICERAT"": ""Ja""}",15.617311008638634,58.846803090430306,Polygon,17747.43022379471,3655396.30644769,https://www.openstreetmap.org/?mlat=58.8468031&mlon=15.6173110#map=18/58.8468031/15.6173110,coordinate_fallback,,,publiceringsstatus
2200010,Lövberget,Nej,"{""NVRID"": ""2200010"", ""NAMN"": ""Lövberget"", ""DATA_FRILUFTSLIV_PUBLICERAT"": ""Nej""}",12.638593034081863,60.83399007056405,Polygon,3704.807512961632,407212.9100108505,https://www.openstreetmap.org/?mlat=60.8339901&mlon=12.6385930#map=18/60.8339901/12.6385930,coordinate_fallback,,,publiceringsstatus
