osmid,name,highway,surface,tracktype,foot,bicycle,sac_scale,trail_visibility,smoothness,width,mtb:scale,mtb:scale:imba,osmc:symbol,image,incline,lit,step_count,ford,bridge,tunnel,wheelchair,ramp,source,mapillary,scenic,section,footway,sidewalk,length_m,corridor
39504808,Båtluffarleden,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/B%C3%A5tluffarleden_Finnhamns_sidan_01.jpg/1536px-B%C3%A5tluffarleden_Finnhamns_sidan_01.jpg?fbclid=IwQ0xDSwMGdJVleHRuA2FlbQIxMQABHgPg9_qauG70Ra2Wzp-_Pq0U5kZqOmTrpXlEvnl_lN1adlz2Bjld657nrbCN_aem_eQ,,,,,,,,,,,,Roddbåtar att korsa mellan Finnhamn till Ingmarsö,,,782.3881016460779,OTHER
39504808,Båtluffarleden,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/B%C3%A5tluffarleden_Finnhamns_sidan_01.jpg/1536px-B%C3%A5tluffarleden_Finnhamns_sidan_01.jpg?fbclid=IwQ0xDSwMGdJVleHRuA2FlbQIxMQABHgPg9_qauG70Ra2Wzp-_Pq0U5kZqOmTrpXlEvnl_lN1adlz2Bjld657nrbCN_aem_eQ,,,,,,,,,,,,Roddbåtar att korsa mellan Ingmarsö till Finnhamn,,,782.3881016460779,OTHER
42559813,SAT Arholma,service,,,,,hiking,good,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/9f/Arholma_brygga_20250812_03.jpg,,,,,,,,,,,,SAT Arholma,,,91.52690146853773,CAR_ROAD
42559822,Gotthemsvägen,tertiary,gravel,,designated,,hiking,good,intermediate,,,,,,,,,,,,,,,,,SAT Arholma,,,56.56680899196309,CAR_ROAD
42701072,SAT Arholma,service,gravel,,designated,yes,hiking,good,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/SAT_Arholma_20250813_10.jpg/3024px-SAT_Arholma_20250813_10.jpg,,,,,,,,,,,,SAT Arholma,,,204.75165208994565,CAR_ROAD
42701081,Båkbergsvägen,tertiary,,,designated,,hiking,good,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Arholma_20250815_02.jpg/3024px-Arholma_20250815_02.jpg,,,,,,,,,,,,SAT Arholma,,,624.4117982468954,CAR_ROAD
42701093,Gotthemsvägen,residential,gravel,,designated,,hiking,good,intermediate,3,,,,https://upload.wikimedia.org/wikipedia/commons/2/26/SAT_etapp_Arholma_13_leden.jpg,,,,,,,,,,,,SAT Arholma,,,1814.2737763984023,CAR_ROAD
65690011,SAT Arholma,tertiary,,,designated,,hiking,good,,,,,,,,,,,,,,,,,,SAT Arholma,,,128.99373692263754,CAR_ROAD
65690019,Riddarviksvägen,unclassified,gravel,,,,hiking,,intermediate,2,,,,,,,,,,,,,GPS,,,SAT Arholma,,,2457.1986826682164,CAR_ROAD
65690027,SAT Arholma,footway,gravel,,,,hiking,intermediate,,2,,,,https://upload.wikimedia.org/wikipedia/commons/d/d9/SAT_Arholma_20250813_-_09.jpg,,,,,,,,,,,,SAT Arholma,,,99.27716150309276,DEDICATED_PATH
65692966,SAT Arholma,track,,grade5,designated,,hiking,intermediate,very_bad,2,,,,https://upload.wikimedia.org/wikipedia/commons/9/92/SAT_etapp_Arholma_09_leden.jpg,,,,,,,,,GPS,,,SAT Arholma,,,1064.1517768654248,TRACK
73015569,Stenbacknäsvägen,service,gravel,,designated,,hiking,good,intermediate,,,,,https://upload.wikimedia.org/wikipedia/commons/b/bb/SAT_Arholma_20250813_vandring_leden_01.jpg,,,,,,,,,,,,SAT Arholma,,,1022.072363591001,CAR_ROAD
73015580,SAT Arholma,track,unpaved,grade3,designated,,hiking,good,,1.5,,,,https://upload.wikimedia.org/wikipedia/commons/c/ce/SAT_Arholma_20250813_-_19.jpg,,,,,,,,,,,,SAT Arholma,,,260.96969947328694,TRACK
148019206,SAT Arholma,path,grass,,designated,,hiking,good,,1,,,,https://upload.wikimedia.org/wikipedia/commons/6/62/Arholma_garden_of_remembrance.jpg,,,,,,,,,,,,SAT Arholma,,,939.5276387729832,DEDICATED_PATH
148019207,Arholma Södra byväg,unclassified,gravel,,designated,,hiking,good,intermediate,,,,,https://upload.wikimedia.org/wikipedia/commons/9/9a/SAT_20250813_Arholma_05.jpg,,,,,,,,,,,,SAT Arholma,,,1351.228885877931,CAR_ROAD
148019209,SAT Arholma,path,gravel,,,,hiking,intermediate,,2.5,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/SAT_Arholma_20250813_vandringen_04.jpg/3024px-SAT_Arholma_20250813_vandringen_04.jpg,up,,,,,,,,,,,SAT Arholma,,,151.1161839870823,DEDICATED_PATH
148019213,SAT Arholma,path,unpaved,,designated,,hiking,intermediate,bad,1.5,,,,https://upload.wikimedia.org/wikipedia/commons/9/9f/SAT_etapp_Arholma_10_leden.jpg,,,,,,,,,,,,SAT Arholma,,,1154.9496731021604,DEDICATED_PATH
148019214,SAT Arholma,path,,,designated,,hiking,good,bad,0.5,,,,https://upload.wikimedia.org/wikipedia/commons/2/24/SAT_etapp_Arholma_12_leden.jpg,,,,,,,,,,,,SAT Arholma,,,974.4398103237081,DEDICATED_PATH
205939564,Arholma Södra byväg,tertiary,gravel,,designated,,hiking,good,intermediate,,,,,https://upload.wikimedia.org/wikipedia/commons/3/30/SAT_20250813_Arholma_Vandra_03.jpg,,,,,,,,,,,,SAT Arholma,,,2666.122188492968,CAR_ROAD
292553977,Trollstigen,footway,,,designated,,hiking,good,,1,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/SAT_Arholma_20250813_07.jpg/3024px-SAT_Arholma_20250813_07.jpg,,,,,,,no,,,,,SAT Arholma,,,350.30584881797455,DEDICATED_PATH
513323288,SAT Arholma,track,unpaved,grade5,designated,,hiking,good,,0.5,,,,,,,,,,,,,,,,SAT Arholma,,,191.68200595146672,TRACK
514839690,SAT Arholma,path,unpaved,,designated,,hiking,good,,1,,,,"https://commons.wikimedia.org/wiki/File:SAT_Arholma_20250813_-_16.jpg#:~:text=920%20pixlar%20%7C-,4%C2%A0032%20%C3%97%203%C2%A0024%20pixlar,-.",,,,,,,,,,,yes,SAT Arholma,,,148.73492600890222,DEDICATED_PATH
514839693,SAT Arholma,path,unpaved,,designated,,hiking,good,,0.5,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/SAT_etapp_Arholma_norra_delen.jpg/3024px-SAT_etapp_Arholma_norra_delen.jpg,,,,,,,,,,,,SAT Arholma,,,1499.6106283901352,DEDICATED_PATH
514839702,SAT Arholma,footway,grass,,designated,,,good,,1,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Arholma_20250815_03.jpg/3024px-Arholma_20250815_03.jpg,,,,,,,no,,,,,SAT Arholma,,,67.78783690513424,DEDICATED_PATH
605734272,Arholma Södra byväg,unclassified,gravel,,designated,,,good,intermediate,,,,,https://upload.wikimedia.org/wikipedia/commons/6/6e/SAT_20250813_Arholma_02.jpg,,,,,,,,,,,,SAT Arholma,,,42.27325174016557,CAR_ROAD
605734273,Trollstigen,steps,,,designated,,hiking,good,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/SAT_Arholma_20250813_03.jpg/1536px-SAT_Arholma_20250813_03.jpg,,,9,,,,no,,,,,SAT Arholma,,,6.591739868298439,STEPS
605734274,Trollstigen,footway,grass,,designated,,,good,,1,,,,https://upload.wikimedia.org/wikipedia/commons/0/0b/SAT_Arholma_20250813_02.jpg,,,,,,,no,,,,,SAT Arholma,,,300.7902405962548,DEDICATED_PATH
605734275,SAT Arholma,track,gravel,grade3,designated,,hiking,good,,3,,,,https://upload.wikimedia.org/wikipedia/commons/1/17/SAT_Arholma_20250813_-_14.jpg,,,,,,,,,,,,SAT Arholma,,,208.22389766867843,TRACK
605807597,SAT Arholma,footway,gravel,,,,hiking,good,,2.5,,,,https://upload.wikimedia.org/wikipedia/commons/a/a4/SAT_Arholma_20250813_15.jpg,,,,,,,,,,,,SAT Arholma,,,399.00931397119575,DEDICATED_PATH
605807603,SAT Arholma,service,,,,,,,,,,,,,,,,,,,,,,,,SAT Arholma,,,43.61504896154527,CAR_ROAD
610244020,Båkstigen,footway,gravel,,designated,,hiking,good,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Arholma_20250815_04.jpg/3024px-Arholma_20250815_04.jpg,,,,,,,,,,,,SAT Arholma,,,103.09216505270965,DEDICATED_PATH
1120319390,Arholma Norra byväg,tertiary,,,,,,,,,,,,,,,,,,,,,,,,SAT Arholma,,,263.61932104791816,CAR_ROAD
1378914348,Slottsundsvägen,residential,gravel,,designated,,hiking,good,intermediate,,,,,https://upload.wikimedia.org/wikipedia/commons/f/f0/SAT_Arholma_20250813_vandring_leden_03.jpg,,,,,,,,,GPS,,yes,SAT Arholma,,,489.0604993200733,CAR_ROAD
1378914351,SAT Arholma,path,unpaved,,designated,,hiking,good,,1.5,,,,,,,,,,,,,GPS,,,SAT Arholma,,,563.141186413965,DEDICATED_PATH
1378914352,SAT Arholma,path,unpaved,,designated,,hiking,good,,,,,,,,,,,,,,,GPS,,,SAT Arholma,,,640.6393704293422,DEDICATED_PATH
1378914354,SAT Arholma,service,,,,,,,,,,,,,,,,,,,,,,,,SAT Arholma,,,17.86772156170051,CAR_ROAD
