section,total_km,max_dist_m,mean_dist_m,share_≤50m,share_≤100m,share_≤250m,share_≤500m,share_≤1000m,share_>1000m
Roddbåtar att korsa mellan Finnhamn till Ingmarsö,0.7823881016460779,0.0,0.0,1.0,,,,,
Roddbåtar att korsa mellan Ingmarsö till Finnhamn,0.7823881016460779,0.0,0.0,1.0,,,,,
SAT Arholma,21.262248085895838,354.2388193236405,107.99442727369136,0.25319024227697223,0.22833061459466594,0.4652285986571014,0.05325054447126047,,
SAT Brottö,1.9572414019525655,197.496722245801,91.60918735412857,0.14171472080023365,0.18984975801002654,0.6684355211897399,,,
SAT Finnhamn,16.60555435692886,407.01541800305307,81.3635428167626,0.6820931105025857,0.15445367871982218,0.09768693422349888,0.0657662765540934,,
SAT Fjärdlång,16.979886212596558,625.4109335570957,201.27962710867791,0.25113300046833215,0.21702462462149247,0.3148179122526226,0.10538561662547559,0.11163884603207709,
SAT Furusund,13.297849593957796,323.43760504290435,93.17982028005852,0.626099613099626,0.10202118666405671,0.18528258582642979,0.0865966144098873,,
SAT Grinda,16.207104824236346,504.08934206757124,83.43714355227296,0.5571982775946267,0.16828789110754475,0.12141445126404318,0.10945509255291114,0.043644287480874316,
SAT Landsort,17.51465858194444,330.1114363058688,121.48089855110784,0.3290933544122139,0.24767382143392236,0.3802338636855732,0.04299896046829057,,
SAT Lidö,15.441563534464562,444.9039467511909,116.0519830461521,0.4285344033163984,0.10005271919496979,0.3522103063009135,0.1192025711877182,,
SAT Möja,19.281572339300226,335.803781166017,118.31738779718376,0.3300103600133135,0.07354360814010982,0.3407076592428018,0.25573837260377497,,
SAT Nämdö,23.343828173955597,1029.9175641541083,240.16734875061192,0.29021001677407565,0.21665216890403738,0.16450997894017524,0.16818222383010634,0.11411837999622715,0.0463272315553783
SAT Nåttarö,16.12165819596411,606.2045199803824,200.50894251480995,0.4239335802030795,,0.2399424967408684,0.30095844800088006,0.035165475055171994,
SAT Ornö,58.82342372111555,1510.9678455905387,299.0979735452598,0.2868220662344841,0.14798490396728167,0.20309458194806282,0.2329428053904269,0.05939842369125868,0.06975721876848583
SAT Runmarö,33.65947424710176,695.8696680746923,215.87066505486715,0.23086506972496676,0.0608682121225698,0.4569791525856002,0.21637517950311824,0.03491238606374486,
SAT Rånö,20.55373138624082,709.0625815866983,195.65862904870656,0.42758331013716666,0.09369659768910193,0.24353432410366588,0.1199335670315959,0.11525220103846964,
SAT Sandhamn,13.866879266017015,644.0713523055555,125.31739580713563,0.3022539419318126,0.2589335803359429,0.33098670373336425,0.0996256810336097,0.008200092965270328,
SAT Utö,32.21400345856679,808.482207699717,145.33001145621398,0.43112826799489135,0.2507609550117294,0.16769368415185462,0.1301507478623184,0.020266344979206128,
SAT Yxlan,40.61616620979292,813.4297068595545,197.4354112945392,0.2744042454462074,0.19807146471804887,0.2496033047966249,0.18478235160147655,0.09313863343764232,
SAT Ålö,23.65377022449047,776.6135690322131,158.53598331675204,0.536442881339755,0.04188862809340339,0.2996839714822928,0.09395021265167024,0.028034306432878485,
Öjaleden,10.951287261134114,299.85729670729296,145.86418996893397,0.09923475014600783,0.3123261400098745,0.5393273360839987,0.049111773760118764,,
