osm_type,osmid,lon,lat,name,wheelchair,amenity,tourism,dist_m,dist_band
node,9907275660,17.8646791,58.7447991,,no,toilets,,44.629911689705764,≤50m
node,9731151622,17.8653605,58.7443317,Saltboden (Pub),limited,cafe,,13.187990646128771,≤50m
node,12804831701,17.8652953,58.7445008,,limited,,,12.5926937448725,≤50m
node,13041911527,17.8652507,58.7446083,,no,toilets,,17.06932618735755,≤50m
node,2942213743,17.8571909,58.7686081,,no,toilets,,24.21008144804663,≤50m
node,6516940386,17.8637602,58.7648656,Batteri Landsort,no,,museum,4.803599812063031,≤50m
node,13037259125,18.1114068,58.8803181,Toaletter vid Nåttarö Brygga,yes,toilets,,11.830416228251979,≤50m
node,13045581191,18.1764135,58.919687,,no,toilets,,61.2390605488346,≤100m
node,4314791694,18.1684185,58.9252493,Skutvikens toaletter Rånö,no,toilets,,85.10665371486093,≤100m
node,4936508701,18.1693457,58.925419,,no,drinking_water,,8.98431183879862,≤50m
node,5798509123,18.1896626,58.9273732,,no,drinking_water,,7.615025619146431,≤50m
node,3431736753,18.2190947,58.9098077,Ålö Storsand dricksvattenpump,no,drinking_water,,10.896300800314284,≤50m
node,5728810282,18.1953164,58.9204155,,limited,waste_disposal,,10.51661353009632,≤50m
node,5728811148,18.1955009,58.9202952,,yes,toilets,,15.928372522246985,≤50m
node,5728811330,18.1953357,58.9202684,,no,drinking_water,,6.761820082455475,≤50m
node,5005791361,18.3185622,58.9669921,,limited,toilets,,36.96667022901732,≤50m
node,5005793728,18.3194495,58.9680089,,no,toilets,,20.096457872329914,≤50m
node,5005120552,18.3244678,58.9702091,,no,toilets,,64.98566391567995,≤100m
node,11942878776,18.3277645,58.9698077,Gruvbyn utegym,no,,,19.698632357939562,≤50m
node,13050416339,18.3634318,58.9785128,,no,toilets,,3.5936611302987953,≤50m
node,7997530880,18.3865883,59.0722851,,no,toilets,,8.309769379832023,≤50m
node,5013691335,18.4300616,59.0523362,,no,drinking_water,,95.4049861304326,≤100m
node,5491797228,18.4298209,59.0520121,,yes,parking,,61.50750704961564,≤100m
way,383557275,17.8668552,58.742548,Svedtiljas,limited,restaurant,,25.45698549024837,≤50m
way,1059080129,17.8652848,58.7443344,,yes,,,5.419933506260284,≤50m
way,1089639090,18.1126803,58.8810006,,limited,toilets,,176.9600075343976,≤200m
way,322935663,18.1369827,58.8867808,toaletter Östemarsfladen,no,toilets,,22.062229774854334,≤50m
way,1418915972,18.1370408,58.8868794,toaletter Östemarsfladen,no,toilets,,21.995740138265635,≤50m
way,1423399408,18.1751947,58.9198582,,yes,toilets,,17.20524686210059,≤50m
way,1414440873,18.3851821,59.0718206,,no,dressing_room,,6.363081152123014,≤50m
node,9907275660,17.8646791,58.7447991,,no,toilets,,44.629911689705764,≤50m
node,10948911479,17.8650396,58.7446698,,,drinking_water,,9.387758670668987,≤50m
node,2942213121,17.8657214,58.7393535,Landsorts batteri,,,attraction,24.95609596649054,≤50m
node,12864358622,17.8655988,58.7396376,Fyrhistorisk utställning,,,museum,17.444901286286427,≤50m
node,6561225075,17.8662661,58.7465779,,,,information,12.523348462700651,≤50m
node,9731151622,17.8653605,58.7443317,Saltboden (Pub),limited,cafe,,13.187990646128771,≤50m
node,12691618938,17.8656048,58.7440228,,,,information,4.100615056116734,≤50m
node,12944560760,17.8656393,58.7440317,SAT Landsort,,,information,3.858075169436786,≤50m
node,13041911527,17.8652507,58.7446083,,no,toilets,,17.06932618735755,≤50m
node,12944833081,17.8648591,58.7535139,SAT Landsort,,,information,3.0162197071446077,≤50m
node,13110216326,17.8643642,58.7579235,,,,information,1.5826940614945395,≤50m
node,2942213743,17.8571909,58.7686081,,no,toilets,,24.21008144804663,≤50m
node,12210482861,17.8570226,58.7686034,Café Norrhamn,,cafe,,24.534760441793207,≤50m
node,12945087542,17.857523,58.7688607,,,drinking_water,,25.311147845832917,≤50m
node,2942213712,17.8639114,58.7648757,"ERSTA-batteri Landsort, pjäs 3",,,attraction,11.989884984047052,≤50m
node,6516929410,17.8641979,58.7645877,,,,viewpoint,44.76144807832512,≤50m
node,6516940386,17.8637602,58.7648656,Batteri Landsort,no,,museum,4.803599812063031,≤50m
node,12942415533,17.860417,58.7675088,,,drinking_water,,43.8707659182794,≤50m
node,12944798435,17.8600331,58.7669469,SAT Landsort,,,information,13.154199777925045,≤50m
node,13040209300,17.860831,58.767438,,,,information,3.4237467847789036,≤50m
node,13105360460,17.8637612,58.7648879,Batteri Landsort,,,information,2.555304050123631,≤50m
node,9853443927,18.1127192,58.8729932,,,,information,8.26712342150025,≤50m
node,12837571751,18.1112071,58.8699071,SAT Nåttarö,,,information,3.66611026282309,≤50m
node,12837227282,18.1127018,58.8792506,SAT Nåttarö,,,information,8.821374581658988,≤50m
node,13037259125,18.1114068,58.8803181,Toaletter vid Nåttarö Brygga,yes,toilets,,11.830416228251979,≤50m
node,12837532532,18.1107278,58.8810515,SAT Nåttarö,,,information,8.515845503861128,≤50m
node,12862822557,18.1115552,58.881526,Nåttarö snorklingsled,,,attraction,127.40186666566818,≤200m
node,12837567381,18.1248905,58.8683734,SAT Nåttarö,,,information,3.6296600421041956,≤50m
node,13041364818,18.1160734,58.8804301,,,toilets,,122.1187530535656,≤200m
