osm_type,osm_id,url,wikidata_tag,name
node,5530966,https://www.openstreetmap.org/node/5530966,Q134622550,Köpmanholm
node,269395949,https://www.openstreetmap.org/node/269395949,Q133884836,Gruvbryggan
node,424056139,https://www.openstreetmap.org/node/424056139,Q133884785,Spränga
node,424093156,https://www.openstreetmap.org/node/424093156,Q134008562,Rånö
node,435187426,https://www.openstreetmap.org/node/435187426,Q133886292,Nåttarö
node,435221450,https://www.openstreetmap.org/node/435221450,Q133993978,Fjärdlång
node,435221526,https://www.openstreetmap.org/node/435221526,Q134621751,Ornöboda
node,441941298,https://www.openstreetmap.org/node/441941298,Q134522797,Berg brygga
node,467047074,https://www.openstreetmap.org/node/467047074,Q134297092,Gatan
node,476790748,https://www.openstreetmap.org/node/476790748,Q134370050,Sandhamn
node,491552371,https://www.openstreetmap.org/node/491552371,Q134621708,Hässelmara
node,758463397,https://www.openstreetmap.org/node/758463397,Q134310449,Södra Grinda
node,822562778,https://www.openstreetmap.org/node/822562778,Q134367350,Norra Svartsö
node,859356638,https://www.openstreetmap.org/node/859356638,Q134442879,Norra Grinda
node,946510410,https://www.openstreetmap.org/node/946510410,Q134007589,Nämdöböte
node,946510502,https://www.openstreetmap.org/node/946510502,Q134007558,Sand
node,946514711,https://www.openstreetmap.org/node/946514711,Q134007653,Solvik
node,946514729,https://www.openstreetmap.org/node/946514729,Q134007692,Östanvik
node,1611299356,https://www.openstreetmap.org/node/1611299356,Q133885585,Arholma
node,1823005981,https://www.openstreetmap.org/node/1823005981,Q133867299,Lidö
node,1917030192,https://www.openstreetmap.org/node/1917030192,Q134539845,Ornö Kyrka
node,2321869273,https://www.openstreetmap.org/node/2321869273,Q134621885,Ålö
node,2334340773,https://www.openstreetmap.org/node/2334340773,Q134522835,Ramsmora
node,2349139503,https://www.openstreetmap.org/node/2349139503,Q134523091,Långvik
node,2349235266,https://www.openstreetmap.org/node/2349235266,Q134521444,Möjaström
node,2550392590,https://www.openstreetmap.org/node/2550392590,Q134626197,Lättinge
node,2908793762,https://www.openstreetmap.org/node/2908793762,Q134007206,Södra Ingmarsö
node,2908793764,https://www.openstreetmap.org/node/2908793764,Q134621955,Ahlsvik
node,2908793792,https://www.openstreetmap.org/node/2908793792,Q134000657,Söderboudd
node,2908794120,https://www.openstreetmap.org/node/2908794120,Q133994206,Skälvik
node,2927541101,https://www.openstreetmap.org/node/2927541101,Q134444768,Finnhamn
node,2942213200,https://www.openstreetmap.org/node/2942213200,Q134007303,Landsort (Västerhamn)
node,5729827888,https://www.openstreetmap.org/node/5729827888,Q134527143,Yxlö
node,5861205706,https://www.openstreetmap.org/node/5861205706,Q134008052,Brottö
node,7683934978,https://www.openstreetmap.org/node/7683934978,Q133884690,Norra Ingmarsö
node,7784981225,https://www.openstreetmap.org/node/7784981225,Q133994161,Styrsvik
node,7786882522,https://www.openstreetmap.org/node/7786882522,Q134369594,Långvik
node,8685215061,https://www.openstreetmap.org/node/8685215061,Q134007357,Landsort (Österhamn)
node,9724390439,https://www.openstreetmap.org/node/9724390439,Q134307047,Landsort (Norrhamn)
way,39504808,https://www.openstreetmap.org/way/39504808,Q133884655,Båtluffarleden
