qid,item,label,description,lat,lon,osm_node,osm_way,osm_rel,osm_node_id,osm_way_id,osm_rel_id,osm_node_url,osm_way_url,osm_rel_url
Q135010805,http://www.wikidata.org/entity/Q135010805,Vandringsskylt SAT Landsort,skylt i västra hamnen,58.743978,17.865669,,12944560760,,,w12944560760,,,https://www.openstreetmap.org/way/12944560760,
Q135045291,http://www.wikidata.org/entity/Q135045291,Vandringsskylt SAT Landsort,längs öjaleden,58.753514,17.864859,,12944833081,,,w12944833081,,,https://www.openstreetmap.org/way/12944833081,
Q135045302,http://www.wikidata.org/entity/Q135045302,Vandringsskylt SAT Landsort,vid tältplatsen,58.766947,17.860033,,12944798435,,,w12944798435,,,https://www.openstreetmap.org/way/12944798435,
Q135045359,http://www.wikidata.org/entity/Q135045359,Vandringsskylt SAT Nåttarö,skylt i Vänsviken,58.868373,18.124888,,12837567381,,,w12837567381,,,https://www.openstreetmap.org/way/12837567381,
Q135045432,http://www.wikidata.org/entity/Q135045432,Vandringsskylt SAT Nåttarö,södra Nåttarö,58.869897,18.111198,,12837571751,,,w12837571751,,,https://www.openstreetmap.org/way/12837571751,
Q135045488,http://www.wikidata.org/entity/Q135045488,Vandringsskylt SAT Nåttarö,skylt vid bryggan,58.881051,18.110728,,12837532532,,,w12837532532,,,https://www.openstreetmap.org/way/12837532532,
Q135045682,http://www.wikidata.org/entity/Q135045682,Vandringsskylt SAT Nåttarö,vid Nåttarö handelsbod,58.879249,18.112689,,12837227282,,,w12837227282,,,https://www.openstreetmap.org/way/12837227282,
Q135045892,http://www.wikidata.org/entity/Q135045892,Vandringsskylt SAT Nåttarö,vid Nåttarö Storsand,58.877405,18.132581,,12837581021,,,w12837581021,,,https://www.openstreetmap.org/way/12837581021,
Q135046168,http://www.wikidata.org/entity/Q135046168,Vandringsskylt SAT Nåttarö,skylt Östemar,58.887072,18.137038,,12838471017,,,w12838471017,,,https://www.openstreetmap.org/way/12838471017,
Q135046665,http://www.wikidata.org/entity/Q135046665,Vandringsskylt SAT Rånö,skylt mitt på Rånö vid Knicklsandsvägen,58.919991,18.167932,,12759101764,,,w12759101764,,,https://www.openstreetmap.org/way/12759101764,
