label,island,toilets_nearby,avg_distance_m
SAT Finnhamn,Finnhamn,12,33.68348656823466
SAT Grinda,Grinda,12,31.417177922466024
SAT Fjärdlång,Fjärdlång,8,29.204350006782928
SAT Utö,Utö,8,17.478826284182478
SAT Arholma,Arholma,7,46.99628851299948
SAT Rånö,Rånö,6,32.67399762736229
SAT Ingmarsö,Ingmarsö,5,24.82261393685154
SAT Nåttarö,Nåttarö,4,40.80989992639924
SAT Ålö,Ålö,3,35.464055142387686
SAT Lidö,Lidö,2,29.203748453330856
SAT Landsort,Öja,2,16.946320998734322
SAT Sandhamn,Sandön,2,27.375656956340194
SAT Nämdö,Nämdö,1,9.07626408832796
SAT Ornö,Ornö,1,4.2760339903841285
SAT Furusund,Furusund,1,16.95887711666629
SAT Yxlan,Yxlan,1,94.32370686237392
SAT Möja,Möja,1,11.96054087268826
