label,lat,lon,color,symbol
"Ragnar's kiosk, barbecue area",59.47955,18.812427,#D2691E,bbq
"Norra sand, Utö, barbecue area",58.974527,18.33929,#D2691E,bbq
Utö camping bbq 2,58.966489,18.318502,#D2691E,bbq
Jeppes Inn,59.441299,18.917862,#C1853B,restaurant
Barbecue area Grinda,59.40767,18.55504,#D2691E,bbq
BBQ Utö guest harbour,58.968136,18.319328,#D2691E,bbq
"Kålgårdsön Nature Reserve, barbecue area",59.47928,18.79523,#D2691E,bbq
Furusund barbecue area Football field,59.4177,18.55765,#D2691E,bbq
Finnhamn Lammudden wind shelter,59.47423,18.807828,#A0522D,shelter
Runmarö Heritage Centre,59.278796,18.760091,#8B4513,school
Runmarö Heritage Centre,59.278796,18.760091,#8B4513,museum
Skärlkarlshamn beach,59.282471,18.922142,#5DA6C2,swimming
"Labyrinth, Öja-Landsort",58.7492404,17.8644948,#C1A170,monument
SAT Nämdö,59.19631,18.69418,#32CD32,shoe
Södra fladen Utö barbecue area,58.951736,18.286305,#A0522D,shelter
Villa Romanov,59.661462952,18.915384964,#708090,building
Finnhamn hostel,59.479525,18.823645,#8B4513,lodging
SAT Grinda,59.4101,18.5632,#32CD32,shoe
bbq Arholma Nord,59.861189,19.122244,#D2691E,bbq
Norra sand beach,58.974807,18.339749,#5DA6C2,swimming
Northern Forest Nature Reserve,59.08943,18.45602,#228B22,park
SAT bbq Storsand,58.876693,18.1334129,#D2691E,bbq
SAT Brottö,59.468381111,18.734301944,#32CD32,shoe
Utö inn,58.967309,18.329475,#8B4513,lodging
Bistro Sågen,59.446984441,18.695296615,#C1853B,restaurant
SAT Fjärdlång,59.04087,18.52325,#32CD32,shoe
"Grinda, Klubbudden Barbecue area",59.406358,18.574888,#D2691E,bbq
Möja Inn,59.406694,18.885027,#C1853B,restaurant
Utö camp site BBQ 3,58.966737,18.318591,#D2691E,bbq
SAT Svartsö,59.45,18.683333333,#32CD32,shoe
Lervassastigen,59.05094,18.430693,#32CD32,shoe
Utö camping barbecue area,58.966737,18.318591,#D2691E,bbq
Grinda Inn,59.413505,18.558754,#C1853B,restaurant
SAT Arholma,59.85069,19.11196,#32CD32,shoe
Utö camping BBQ 1,58.965898,18.31749,#D2691E,bbq
beach at Grinda,59.41201,18.5576,#5DA6C2,swimming
Lammudden barbecue area,59.474248,18.807756,#D2691E,bbq
Rävstavik bathing area,58.960316,18.33582,#5DA6C2,swimming
SAT Utö,58.96234,18.33163,#32CD32,shoe
SAT Möja,59.4219,18.88241,#32CD32,shoe
SAT Ingmarsö,59.47032,18.7692,#32CD32,shoe
"Finnhamn hostel, barbecue area",59.479765,18.823476,#D2691E,bbq
"Norra sand, Utö, barbecue area 2",58.974511,18.338636,#D2691E,bbq
Knicksand barbecue area,58.917789,18.165038,#D2691E,bbq
SAT Lidö,59.770089322,19.079148874,#32CD32,shoe
Båtluffarleden,59.46983,18.75358,#32CD32,shoe
Nämdö Bakery,59.184952,18.700515,#C1853B,restaurant
Långvik bathing place,59.44254,18.9208,#5DA6C2,swimming
Arholma garden of remembrance,59.843864,19.130451,#696969,cemetery
Nämdö Bakery,59.184952,18.700515,#C4AD00,bakery
Utö Inn Hostel,58.96809461,18.32639499,#8B4513,lodging
Harviken bathing area,58.929078,18.169278,#5DA6C2,swimming
"Southern Fladen Utö, grill place",58.951671,18.286361,#D2691E,bbq
Saltvik bathing water,59.413630337,18.858099505,#5DA6C2,swimming
Barbecue area Grinda 2,59.4177,18.55765,#D2691E,bbq
Skärgårdsmuseet Nämdö,59.182103,18.688655,#8B4513,museum
Barbecue area Grinda bathwater,59.412276,18.557012,#D2691E,bbq
SAT Nåttarö,58.87639,18.12238,#32CD32,shoe
Förängs bathing site,59.656978,18.902119,#5DA6C2,swimming
Grinda Inn,59.413505,18.558754,#8B4513,lodging
SAT Runmarö,59.283333333,18.766666666,#32CD32,shoe
Stockholm Archipelago Trail,59.383333333,18.733333333,#32CD32,shoe
Runmarö cemetery,59.279252,18.758509,#696969,cemetery
White trail,59.185289,18.671023,#32CD32,shoe
Wind shelter Ornö museum,59.050795,18.430452,#A0522D,shelter
Barbecue area Storsand Ålö,58.90943,18.21923,#D2691E,bbq
Sandtaget outdoor gym,59.2868461,18.915281,#FF8C00,fitness-centre
Albert Holm's memorial stone,58.759442,17.862911,#C1A170,monument
Telegraph Hill Tower,59.078743,18.393144,#6A0DAD,observation-tower
SAT Furusund,59.666280555,18.918861111,#32CD32,shoe
BBQ area Ålö Storsand 2,58.90954,18.22015,#D2691E,bbq
Barbecue area Grinda tent area 1,59.417383,18.561723,#D2691E,bbq
"Harviken, barbecue area",58.929023,18.169296,#D2691E,bbq
barbecue area at Sydfladen,59.475384,18.817239,#D2691E,bbq
Wind shelter Talludden,59.4741017,18.8122302,#A0522D,shelter
Roland Svensson museum,59.424156,18.909042,#8B4513,museum
Barbecue area Grinda tent area 2,59.417385,18.559763,#D2691E,bbq
SAT Sandhamn,59.28278,18.91387,#32CD32,shoe
