tags,id,osm_type,water_sites
"{'access': 'yes', 'amenity': 'drinking_water', 'check_date': '2025-03-23', 'comment': 'pumpen tillhör campingen men gissar man kan ta vattena', 'drinking_water': 'yes', 'image': 'https://upload.wikimedia.org/wikipedia/commons/3/3f/SAT_Grinda_camping_vattenpump.jpg', 'image:license': 'CC-0', 'image:license:wikidata': 'Q6938433', 'wikidata': 'Q134607783'}",863394662,node,1
"{'amenity': 'drinking_water', 'bottle': 'yes', 'check_date': '2025-08-02', 'covered': 'no', 'description': 'Påslaget 2025-08-02', 'fee': 'no', 'image': 'https://upload.wikimedia.org/wikipedia/commons/b/b9/SAT_R%C3%A5n%C3%B6_vandring_2025_04_09.jpg', 'image:license': 'CC-0', 'indoor': 'no', 'lit': 'no', 'seasonal': 'summer', 'wikidata': 'Q134607564'}",1392309442,node,1
"{'access': 'yes', 'amenity': 'drinking_water', 'wikidata': 'Q135443569'}",1822980813,node,1
{'amenity': 'drinking_water'},1848869435,node,1
"{'access': 'yes', 'amenity': 'drinking_water', 'bottle': 'yes', 'check_date': '2025-08-06', 'covered': 'no', 'description': 'Dricksvattenpump på Stora Sand', 'drinking_water:seasonal': 'yes', 'fee': 'no', 'image': 'https://upload.wikimedia.org/wikipedia/commons/f/fc/SAT_%C3%85l%C3%B6_vandring_2025_april_55_-_vatten_vid_Storsand.jpg', 'image:license': 'CC0 1.0', 'indoor': 'no', 'lit': 'no', 'man_made': 'water_well', 'name': 'Ålö Storsand dricksvattenpump', 'operator': 'Skärgårdsstiftelsen', 'pump': 'manual', 'wheelchair': 'no', 'wikidata': 'Q134605030', 'wikimedia_commons': 'Category:Ålö Storsand drinking water'}",3431736753,node,1
"{'amenity': 'drinking_water', 'fee': 'no', 'wheelchair': 'no', 'wikidata': 'Q135230746'}",4936508701,node,1
"{'amenity': 'drinking_water', 'check_date': '2025-04-02', 'seasonal': 'summer', 'wikidata': 'Q135458780'}",4936509760,node,1
"{'access': 'yes', 'amenity': 'drinking_water', 'check_date': '2025-08-13', 'drinking_water': 'yes', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/SAT_Arholma_20250813_vandring_leden_06.jpg/1536px-SAT_Arholma_20250813_vandring_leden_06.jpg', 'image:license': 'CC-0', 'image:license:wikidata': 'Q6938433', 'name': 'Österhamn Pump', 'wheelchair': 'no'}",4990875342,node,1
"{'access': 'yes', 'amenity': 'drinking_water', 'fixme': 'https://www.openstreetmap.org/note/4704932', 'wheelchair': 'no'}",5013691335,node,1
"{'access': 'yes', 'amenity': 'drinking_water', 'bottle': 'yes', 'check_date': '2025-08-04', 'description': 'fungerar 20250804 egen test', 'drinking_water': 'yes', 'image': 'https://upload.wikimedia.org/wikipedia/commons/0/09/SAT_%C3%85l%C3%B6_vandring_2025_april_05_vattenpump.jpg', 'image:license': 'CC-0', 'man_made': 'water_well', 'wheelchair': 'no', 'wikidata': 'Q134985579'}",5728811330,node,1
"{'access': 'yes', 'amenity': 'drinking_water', 'bottle': 'yes', 'check_date': '2025-08-13', 'covered': 'no', 'drinking_water': 'yes', 'fee': 'no', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Arholma_SAT_20250813_18_dricksvattenpump.jpg/1536px-Arholma_SAT_20250813_18_dricksvattenpump.jpg', 'indoor': 'no', 'lit': 'no', 'man_made': 'water_well', 'note': 'Vattnet verkar ha mycket järn och ej testat', 'note:en': 'The water seems to have a lot of iron and has not been tested', 'operator': 'Skärgårdsstiftelsen', 'operator:wikidata': 'Q10670989', 'pump': 'manual', 'wheelchair': 'no', 'wikidata': 'Q135267999', 'wikimedia_commons': 'Category:Arholma_camping_dricksvatten'}",5745003240,node,1
{'amenity': 'drinking_water'},11079164849,node,1
"{'amenity': 'drinking_water', 'check_date': '2025-04-02', 'description': 'Handdriven vattenpump'}",12722707517,node,1
"{'access': 'private', 'amenity': 'drinking_water', 'check_date': '2025-04-05', 'drinking_water': 'yes', 'fee': 'no', 'image': 'https://upload.wikimedia.org/wikipedia/commons/8/84/SAT_%C3%85l%C3%B6_vandring_2025_april_83_vattenpump_troligen_privat.jpg', 'image:license': 'CC-0', 'image:license:wikidata': 'Q6938433', 'note': 'privat pump ibland med en skylt att det är ok att ta vatten'}",12738887790,node,1
"{'amenity': 'drinking_water', 'check_date': '2025-04-08', 'drinking_water': 'yes'}",12738887792,node,1
"{'amenity': 'drinking_water', 'check_date': '2025-04-08', 'description': 'Vattnet otjänligt enl. Test', 'drinking_water': 'no', 'image': 'https://upload.wikimedia.org/wikipedia/commons/9/9e/SAT_Ut%C3%B6_2025_april_124.jpg', 'image:license': 'CC-0'}",12738920397,node,1
"{'access': 'official', 'amenity': 'drinking_water', 'check_date': '2025-06-21', 'drinking_water': 'yes', 'fee': 'no', 'image': 'https://upload.wikimedia.org/wikipedia/commons/f/fa/%C3%96ja_campingplats_dricksvatten_01.jpg', 'image:license': 'CC-0', 'indoor': 'no', 'mapillary': '1183505873462084', 'wikidata': 'Q135011579'}",12942415533,node,1
"{'amenity': 'drinking_water', 'drinking_water': 'yes', 'image': 'https://upload.wikimedia.org/wikipedia/commons/4/47/North_harbor_drinking_water_Landsort.jpg', 'image:license': 'CC-0', 'wikidata': 'Q134986918'}",12945087542,node,1
"{'access': 'yes', 'amenity': 'drinking_water', 'drinking_water': 'yes', 'fee': 'no', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Toaletter_Sandhamn_%282%29.jpg/960px-Toaletter_Sandhamn_%282%29.jpg', 'image:license': 'CC-0', 'image:license:wikidata': 'Q6938433', 'opening_hours': '08:00-20:00', 'wheelchair': 'yes'}",13019730895,node,1
"{'access': 'private', 'amenity': 'drinking_water', 'check_date': '2025-04', 'drinking_water': 'unknown', 'image': 'https://upload.wikimedia.org/wikipedia/commons/e/ef/SAT_Lid%C3%B6_%28170%29.jpg', 'image:license': 'CC-0', 'note': 'Vattenkran utanför Lidö Värdshus, avstängd i april 2025. Dricksvattenstatus ej verifierad', 'operator': 'Lidö Värdshus', 'seasonal': 'yes', 'source': 'groundwater'}",13030994018,node,1
