tags,id
{'amenity': 'toilets'},426925731
"{'amenity': 'toilets', 'check_date': '2021-08-13', 'fee': 'no', 'name': 'Hulda', 'wheelchair': 'limited'}",863394740
"{'amenity': 'toilets', 'check_date': '2021-08-13', 'fee': 'no', 'wheelchair': 'limited'}",863394751
"{'amenity': 'toilets', 'check_date': '2021-08-13', 'fee': 'no', 'name': 'Linn', 'wheelchair': 'yes'}",863394827
"{'amenity': 'toilets', 'capacity': '3', 'name': 'Elsa'}",863423228
"{'amenity': 'toilets', 'name': 'Misse'}",863423239
{'amenity': 'toilets'},863423311
"{'amenity': 'toilets', 'capacity': '2', 'name': 'Pia'}",863423335
{'amenity': 'toilets'},1234107386
"{'amenity': 'toilets', 'fee': 'no', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/SAT_Finnhamn_camp_site_south_08.jpg/1280px-SAT_Finnhamn_camp_site_south_08.jpg', 'image:license': 'CC-0', 'supervised': 'no', 'unisex': 'yes'}",1401739421
"{'amenity': 'toilets', 'fee': 'no', 'wheelchair': 'no'}",1401993169
"{'access': 'yes', 'amenity': 'toilets', 'image': 'https://commons.wikimedia.org/entity/M163246546', 'toilets:disposal': 'bucket', 'wikimedia_commons': 'Category:Ålö_storsand,_public_toilets'}",1412263117
"{'access': 'yes', 'amenity': 'toilets', 'changing_table': 'no', 'fee': 'no', 'operator': 'Norrtälje kommun', 'toilets:disposal': 'bucket', 'unisex': 'yes', 'wheelchair': 'no'}",1848869434
"{'access': 'yes', 'amenity': 'toilets', 'changing_table': 'no', 'fee': 'no', 'opening_hours': '24/7', 'operator': 'Skärgårdsstiftelsen', 'toilets:disposal': 'pitlatrine', 'toilets:handwashing': 'no', 'unisex': 'yes', 'water': 'no'}",2225378750
"{'amenity': 'toilets', 'image': 'https://upload.wikimedia.org/wikipedia/commons/4/45/Grinda_2023_Klubbudden.jpg', 'image:license': 'CC-0'}",2285332792
"{'amenity': 'toilets', 'check_date': '2021-08-13', 'fee': 'no', 'wheelchair': 'limited'}",2285332799
{'amenity': 'toilets'},2451364941
"{'amenity': 'toilets', 'check_date': '2023-02-13', 'fee': 'no', 'hot_water': 'yes', 'seamark:small_craft_facility:category': 'toilets', 'seamark:type': 'small_craft_facility', 'wheelchair': 'yes'}",2495934893
"{'amenity': 'toilets', 'operator': 'Skärgårdsstiftelsen'}",2550378583
"{'amenity': 'toilets', 'operator': 'Skärgårdsstiftelsen'}",2550378600
"{'access': 'yes', 'amenity': 'toilets', 'changing_table': 'no', 'fee': 'no', 'opening_hours': '24/7', 'operator': 'Skärgårdsstiftelsen', 'toilets:disposal': 'pitlatrine', 'toilets:handwashing': 'no', 'unisex': 'yes', 'water': 'no'}",2550380413
"{'amenity': 'toilets', 'check_date': '2024-07-29', 'fee': 'no', 'wheelchair': 'no'}",2908785465
{'amenity': 'toilets'},2908787775
"{'amenity': 'toilets', 'check_date': '2025-04-19', 'fee': 'no', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/SAT_Finnhamn_Idholmen_toalett_stugbyn.jpg/960px-SAT_Finnhamn_Idholmen_toalett_stugbyn.jpg', 'image:license': 'CC-0', 'wheelchair': 'no'}",2908787815
"{'amenity': 'toilets', 'fee': 'no', 'wheelchair': 'no'}",2908787816
"{'amenity': 'toilets', 'toilets:disposal': 'pitlatrine', 'type': 'hole in the ground ventilated'}",2943477509
"{'access': 'customers', 'amenity': 'toilets'}",2960940412
"{'amenity': 'toilets', 'fee': 'no', 'wheelchair': 'no'}",4239095028
"{'amenity': 'toilets', 'wheelchair': 'no'}",4239166142
"{'access': 'yes', 'amenity': 'toilets', 'drinking_water': 'no', 'toilets:disposal': 'bucket', 'toilets:position': 'seated', 'unisex': 'yes', 'wheelchair': 'limited'}",4314791694
"{'amenity': 'toilets', 'toilets:disposal': 'pitlatrine'}",4962580122
"{'access': 'yes', 'amenity': 'toilets', 'level': '0'}",4964700616
"{'amenity': 'toilets', 'check_date': '2023-08-11', 'fee': 'no', 'wheelchair': 'no'}",4986599082
"{'amenity': 'toilets', 'operator': 'Skärgårdsstiftelsen'}",4986606253
"{'access': 'customers', 'amenity': 'toilets', 'drinking_water': 'yes', 'toilets:disposal': 'flush', 'toilets:position': 'seated;urinal', 'unisex': 'yes', 'wheelchair': 'no'}",5005120552
"{'access': 'customers', 'amenity': 'toilets', 'description': 'Toaletter för gäster på Utö Camping', 'operator': 'Utö Camping', 'wheelchair': 'limited'}",5005791361
{'amenity': 'toilets'},5005793728
"{'access': 'yes', 'amenity': 'toilets', 'highway': 'rest_area', 'name': 'Vänthall', 'unisex': 'yes'}",5006428827
"{'amenity': 'toilets', 'building': 'yes', 'fee': 'no', 'wheelchair': 'no'}",5009607109
"{'access': 'customers', 'amenity': 'toilets', 'description': 'för kunder till restaurangen', 'fee': 'no', 'operator': 'Båtshaket', 'toilets:handwashing': 'yes', 'unisex': 'yes'}",5728810295
"{'access': 'yes', 'amenity': 'toilets', 'capacity:persons': '2', 'changing_table': 'no', 'description': 'Ligger på vägen ned till bryggan finns dricksvatten pump bredvid', 'drinking_water': 'no', 'fee': 'no', 'image': 'https://upload.wikimedia.org/wikipedia/commons/8/83/SAT_%C3%85l%C3%B6_2025_maj_%28241%29_toalett.jpg', 'opening_hours': '24/7', 'operator': 'Skärgårdsstiftelsen', 'operator:wikidata': 'Q10670989', 'toilets:disposal': 'bucket', 'toilets:position': 'seated', 'unisex': 'yes', 'wikimedia_commons': 'Category:Ålö_brygga,_public_toilets'}",5728811148
"{'amenity': 'toilets', 'opening_hours': '8:00-18:00', 'toilets:disposal': 'flush'}",5734098673
"{'access': 'yes', 'amenity': 'toilets', 'toilets:disposal': 'bucket', 'unisex': 'yes'}",5744466280
"{'amenity': 'toilets', 'unisex': 'yes'}",5745003238
"{'access': 'yes', 'amenity': 'toilets', 'toilets:disposal': 'bucket', 'unisex': 'yes'}",5745003241
"{'access': 'yes', 'amenity': 'toilets', 'drinking_water': 'no', 'toilets:disposal': 'bucket'}",5798509131
"{'access': 'yes', 'amenity': 'toilets', 'changing_table': 'yes', 'fee': 'no', 'toilets:disposal': 'pitlatrine', 'unisex': 'yes', 'wheelchair': 'no'}",5856137513
{'amenity': 'toilets'},5860556339
{'amenity': 'toilets'},6724706158
"{'amenity': 'toilets', 'changing_table': 'no', 'fee': 'no', 'unisex': 'yes', 'wheelchair': 'no'}",7997530880
"{'access': 'yes', 'amenity': 'toilets', 'drinking_water': 'no', 'fee': 'no', 'toilets:disposal': 'bucket', 'unisex': 'yes'}",8870415588
"{'access': 'yes', 'amenity': 'toilets', 'toilets:disposal': 'bucket', 'unisex': 'yes', 'wheelchair': 'no'}",9011995676
"{'access': 'yes', 'amenity': 'toilets', 'changing_table': 'no', 'description': 'toalett vid västra hamnen', 'fee': 'no', 'opening_hours': '24/7', 'toilets:disposal': 'flush', 'toilets:handwashing': 'yes', 'toilets:paper_supplied': 'yes', 'unisex': 'yes', 'wheelchair': 'no'}",9907275660
{'amenity': 'toilets'},10049770242
"{'access': 'yes', 'amenity': 'toilets', 'changing_table': 'no', 'operator': 'Skärgårdsstiftelsen', 'toilets:disposal': 'pitlatrine', 'toilets:handwashing': 'no', 'unisex': 'yes', 'wheelchair': 'limited'}",11080859473
"{'amenity': 'toilets', 'image': 'https://upload.wikimedia.org/wikipedia/commons/b/bd/SAT_Fj%C3%A4rdl%C3%A5ng_2025_april_toaletter_t%C3%A4ltplats.jpg', 'toilets:disposal': 'pitlatrine'}",11084999217
{'amenity': 'toilets'},11092271868
"{'access': 'yes', 'amenity': 'toilets', 'changing_table': 'no', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/SAT_Finnhamn_2025_april_pojkarnas_udde.jpg/1024px-SAT_Finnhamn_2025_april_pojkarnas_udde.jpg', 'image:license': 'CC-0', 'toilets:disposal': 'pitlatrine', 'toilets:handwashing': 'no', 'unisex': 'yes', 'wheelchair': 'no'}",12085564579
"{'amenity': 'toilets', 'check_date': '2025-04-02', 'description': 'Toalett som finns vid tältplatsen på Rånö', 'fee': 'no', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/SAT_R%C3%A5n%C3%B6_toaletter_vid_t%C3%A4ltplatsen.jpg/3024px-SAT_R%C3%A5n%C3%B6_toaletter_vid_t%C3%A4ltplatsen.jpg', 'image:license': 'CC-0', 'opening_hours': '24/7', 'operator': 'Skärgårdsstiftelsen', 'toilets:paper_supplied': 'yes'}",12723432176
"{'amenity': 'toilets', 'toilets:disposal': 'pitlatrine'}",12748135109
"{'amenity': 'toilets', 'image': 'https://commons.wikimedia.org/entity/M164843628'}",12815485678
"{'amenity': 'toilets', 'check_date': '2025-04-19', 'fee': 'no', 'image': 'https://commons.wikimedia.org/entity/M163927984', 'wheelchair': 'no'}",12836949181
"{'amenity': 'toilets', 'check_date': '2023-04-23', 'description': 'torrdass vid Storsand', 'fee': 'no', 'image': 'https://upload.wikimedia.org/wikipedia/commons/3/31/SATN%C3%A5ttar%C3%B6_2025_april_toalett_Storsand.jpg', 'image:license': 'CC-0', 'opening_hours': '24/7', 'operator': 'Skärgårdsstiftelsen', 'toilets:disposal': 'pitlatrine', 'toilets:paper_supplied': 'yes', 'wikimedia_commons': 'Category:Nåttarö_public_toilets'}",12849416944
