tags,id,osm_type,toilets_num,distance_m
{'amenity': 'toilets'},426925731,node,1,16.95887711666629
"{'amenity': 'toilets', 'check_date': '2021-08-13', 'fee': 'no', 'name': 'Hulda', 'wheelchair': 'limited'}",863394740,node,1,6.831349054984495
"{'amenity': 'toilets', 'check_date': '2021-08-13', 'fee': 'no', 'wheelchair': 'limited'}",863394751,node,1,3.670085063716798
"{'amenity': 'toilets', 'check_date': '2021-08-13', 'fee': 'no', 'name': 'Linn', 'wheelchair': 'yes'}",863394827,node,1,3.6464171409958364
"{'amenity': 'toilets', 'capacity': '3', 'name': 'Elsa'}",863423228,node,1,9.335668293061062
"{'amenity': 'toilets', 'name': 'Misse'}",863423239,node,1,4.513689571082026
{'amenity': 'toilets'},863423311,node,1,4.051766753569876
"{'amenity': 'toilets', 'capacity': '2', 'name': 'Pia'}",863423335,node,1,13.024533856221582
"{'access': 'no', 'amenity': 'toilets', 'description': 'Igenspikad'}",1234107386,node,1,17.127077135327745
"{'amenity': 'toilets', 'fee': 'no', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/SAT_Finnhamn_camp_site_south_08.jpg/1280px-SAT_Finnhamn_camp_site_south_08.jpg', 'image:license': 'CC-0', 'name': 'Toaletter Södra Tältplatsen Finnhamn', 'supervised': 'no', 'toilets:disposal': 'pitlatrine', 'toilets:handwashing': 'no', 'unisex': 'yes', 'wheelchair': 'yes'}",1401739421,node,1,144.2842838017651
"{'amenity': 'toilets', 'fee': 'no', 'wheelchair': 'no'}",1401993169,node,1,16.002829597075117
"{'access': 'yes', 'amenity': 'toilets', 'check_date': '2025-08-06', 'fee': 'no', 'image': 'https://commons.wikimedia.org/entity/M163246546', 'note': 'Skärgårdsstiftelsen sköter om dessa toaletter finns vattenpump med dricksvatten nära', 'operator': 'Skärgårdsstiftelsen', 'operator:wikidata': 'Q10670989', 'portable': 'no', 'toilets:disposal': 'bucket', 'toilets:handwashing': 'no', 'wikimedia_commons': 'Category:Ålö_storsand,_public_toilets'}",1412263117,node,1,35.04141071841383
"{'access': 'yes', 'amenity': 'toilets', 'changing_table': 'no', 'fee': 'no', 'operator': 'Norrtälje kommun', 'toilets:disposal': 'bucket', 'unisex': 'yes', 'wheelchair': 'no'}",1848869434,node,1,7.45755641010113
"{'access': 'yes', 'amenity': 'toilets', 'changing_table': 'no', 'check_date': '2025-04-20', 'description': 'Enkel torrtoalett med träväggar', 'fee': 'no', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/SAT_Fj%C3%A4rdl%C3%A5ng_2025_april_toalett_%282%29.jpg/1024px-SAT_Fj%C3%A4rdl%C3%A5ng_2025_april_toalett_%282%29.jpg', 'image:license': 'CC-0', 'opening_hours': '24/7', 'operator': 'Skärgårdsstiftelsen', 'toilets:disposal': 'pitlatrine', 'toilets:handwashing': 'no', 'toilets:number': '2', 'toilets:paper_supplied': 'yes', 'toilets:wheelchair': 'no', 'unisex': 'yes', 'water': 'no', 'wheelchair': 'no', 'wikimedia_commons': 'Category:Fjärdlång_public_toilets'}",2225378750,node,2,10.199700894892564
"{'amenity': 'toilets', 'image': 'https://upload.wikimedia.org/wikipedia/commons/4/45/Grinda_2023_Klubbudden.jpg', 'image:license': 'CC-0'}",2285332792,node,1,10.805438078052918
