tags,id,osm_type,toilets_num
{'amenity': 'toilets'},426925731,node,1
"{'amenity': 'toilets', 'check_date': '2021-08-13', 'fee': 'no', 'name': 'Hulda', 'wheelchair': 'limited'}",863394740,node,1
"{'amenity': 'toilets', 'check_date': '2021-08-13', 'fee': 'no', 'wheelchair': 'limited'}",863394751,node,1
"{'amenity': 'toilets', 'check_date': '2021-08-13', 'fee': 'no', 'name': 'Linn', 'wheelchair': 'yes'}",863394827,node,1
"{'amenity': 'toilets', 'capacity': '3', 'name': 'Elsa'}",863423228,node,1
"{'amenity': 'toilets', 'name': 'Misse'}",863423239,node,1
{'amenity': 'toilets'},863423311,node,1
"{'amenity': 'toilets', 'capacity': '2', 'name': 'Pia'}",863423335,node,1
"{'access': 'no', 'amenity': 'toilets', 'description': 'Igenspikad'}",1234107386,node,1
"{'access': 'yes', 'amenity': 'toilets', 'check_date': '2025-08-06', 'fee': 'no', 'image': 'https://commons.wikimedia.org/entity/M163246546', 'note': 'Skärgårdsstiftelsen sköter om dessa toaletter finns vattenpump med dricksvatten nära', 'operator': 'Skärgårdsstiftelsen', 'operator:wikidata': 'Q10670989', 'portable': 'no', 'toilets:disposal': 'bucket', 'toilets:handwashing': 'no', 'wikimedia_commons': 'Category:Ålö_storsand,_public_toilets'}",1412263117,node,1
"{'access': 'yes', 'amenity': 'toilets', 'changing_table': 'no', 'fee': 'no', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/SAT_Arholma_20250813_vandring_leden_13.jpg/960px-SAT_Arholma_20250813_vandring_leden_13.jpg', 'image:license': 'CC-0', 'image:license:wikidata': 'Q6938433', 'operator': 'Norrtälje kommun', 'toilets:disposal': 'bucket', 'unisex': 'yes', 'wheelchair': 'no', 'wikimedia_commons': 'Category:Arholma_public_toilets_1848869434'}",1848869434,node,1
"{'amenity': 'toilets', 'image': 'https://upload.wikimedia.org/wikipedia/commons/4/45/Grinda_2023_Klubbudden.jpg', 'image:license': 'CC-0'}",2285332792,node,1
"{'amenity': 'toilets', 'check_date': '2021-08-13', 'fee': 'no', 'wheelchair': 'limited'}",2285332799,node,1
{'amenity': 'toilets'},2451364941,node,1
"{'access': 'customers', 'amenity': 'toilets'}",2960940412,node,1
"{'amenity': 'toilets', 'fee': 'no', 'wheelchair': 'no'}",4239095028,node,1
"{'amenity': 'toilets', 'wheelchair': 'no'}",4239166142,node,1
"{'access': 'yes', 'amenity': 'toilets', 'check_date': '2025-08-02', 'drinking_water': 'no', 'fee': 'no', 'handicap': 'no', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/R%C3%A5n%C3%B6_20250802_09.jpg/1536px-R%C3%A5n%C3%B6_20250802_09.jpg', 'image:license': 'CC-0', 'image:license:wikidata': 'Q6938433', 'name': 'Skutvikens toaletter Rånö', 'toilets:disposal': 'bucket', 'toilets:handwashing': 'no', 'toilets:position': 'seated', 'wheelchair': 'no', 'wikimedia_commons': 'Category:Skutviken_public_toilet_Rånö'}",4314791694,node,1
"{'amenity': 'toilets', 'check_date': '2023-08-11', 'fee': 'no', 'wheelchair': 'no'}",4986599082,node,1
"{'amenity': 'toilets', 'operator': 'Skärgårdsstiftelsen'}",4986606253,node,1
"{'access': 'customers', 'amenity': 'toilets', 'drinking_water': 'yes', 'toilets:disposal': 'flush', 'toilets:position': 'seated;urinal', 'unisex': 'yes', 'wheelchair': 'no'}",5005120552,node,1
"{'access': 'customers', 'amenity': 'toilets', 'description': 'Toaletter för gäster på Utö Camping', 'operator': 'Utö Camping', 'operator:wikidata': 'Q134366886', 'toilets:paper_supplied': 'yes', 'unisex': 'yes', 'wheelchair': 'limited'}",5005791361,node,1
{'amenity': 'toilets'},5005793728,node,1
"{'access': 'yes', 'amenity': 'toilets', 'highway': 'rest_area', 'name': 'Vänthall', 'unisex': 'yes'}",5006428827,node,1
