label,island,sites,toilets_total,avg_distance_m,avg_toilets_per_site
SAT Nåttarö,Nåttarö,11,25,72.2326286163826,2.272727272727273
SAT Finnhamn,Finnhamn,16,17,29.151230836584638,1.0625
SAT Grinda,Grinda,12,12,31.417177922466024,1.0
SAT Arholma,Arholma,9,11,39.19723076996962,1.2222222222222223
SAT Utö,Utö,8,8,17.478826284182478,1.0
SAT Rånö,Rånö,6,8,32.67399762736229,1.3333333333333333
SAT Ingmarsö,Ingmarsö,5,5,24.82261393685154,1.0
SAT Sandhamn,Sandön,4,4,16.95394181196946,1.0
SAT Lidö,Lidö,3,4,47.205403948268774,1.3333333333333333
SAT Möja,Möja,3,3,17.928813617808185,1.0
SAT Landsort,Öja,2,2,16.946320998734322,1.0
SAT Furusund,Furusund,1,1,16.95887711666629,1.0
SAT Ornö,Ornö,1,1,4.2760339903841285,1.0
SAT Yxlan,Yxlan,1,1,94.32370686237392,1.0
