item,itemLabel,coord,img,OSMnode,OSMway,OSMrel,commonscat,lat,lon
http://www.wikidata.org/entity/Q135900661,Arholma Intresseförening Ensfyrens väg hjärtstartare,Point(19.10587 59.84042),http://commons.wikimedia.org/wiki/Special:FilePath/SAT%2020250813%20Arholma%20Vandring%2017.jpg,13069095802,,,Arholma Intresseförening Ensfyrens väg AED,59.84042,19.10587
http://www.wikidata.org/entity/Q135900531,Arholma handel hjärtstartare,Point(19.10793 59.85117),http://commons.wikimedia.org/wiki/Special:FilePath/Arholma%20AED%2020250812%2004.jpg,13068560201,,,Arholma handel AED 13068560201,59.85117,19.10793
http://www.wikidata.org/entity/Q135025121,Finnhamn Ragnars kiosk hjärtstartare,Point(18.812762 59.479669),http://commons.wikimedia.org/wiki/Special:FilePath/Ragnars%20kiosk%20AED.jpg,12836972901,,,Finnhamn Ragnars kiosk AED,59.479669,18.812762
http://www.wikidata.org/entity/Q135034569,Finnhamns lanthandel hjärtstartare,Point(18.824314 59.482756),http://commons.wikimedia.org/wiki/Special:FilePath/SAT%20Finnhamn%202025%20april%20aff%C3%A4ren%20AED.jpg,6535493385,,,Finnhamns lanthandel AED,59.482756,18.824314
http://www.wikidata.org/entity/Q135969641,Grinda värdshus hjärtstartare,Point(18.558746 59.413522),http://commons.wikimedia.org/wiki/Special:FilePath/Grinda%20v%C3%A4rdshus%20hj%C3%A4rtstartare.jpg,13096789602,,,Grinda AED,59.413522,18.558746
http://www.wikidata.org/entity/Q135041681,Gymnastiksalen Köpmanholms skola AED,Point(18.930951 59.65485),http://commons.wikimedia.org/wiki/Special:FilePath/Hj%C3%A4rtstartare%20skall%20finns%20i%20gymnastiksalen%20ej%20%C3%B6ppen%20nu.jpg,12811090801,,,Gymnastiksalen Köpmanholms skola AED,59.65485,18.930951
http://www.wikidata.org/entity/Q135010859,Hjärtstarare västra hamnen Landsort,Point(17.865298 58.744498),http://commons.wikimedia.org/wiki/Special:FilePath/Hj%C3%A4rtstartare%20Sj%C3%B6fartsverket%20Landsort.jpg,12804831701,,,Sjöfartsverket gaveln AED,58.744498,17.865298
http://www.wikidata.org/entity/Q135041722,Hysängen hjärtstartare,Point(18.846285 59.616467),http://commons.wikimedia.org/wiki/Special:FilePath/SAT%20Yxlan%202025%20maj%205%20-%20AED%20Tj%C3%A4derg%C3%A5ngen%20%282%29.jpg,12811532701,,,Hysängen AED,59.616467,18.846285
http://www.wikidata.org/entity/Q135034710,Idholmens gårdsbutik hjärtstartare,Point(18.815508 59.483222),http://commons.wikimedia.org/wiki/Special:FilePath/Hj%C3%A4rtstartare%20Finnhamn%20Id%C3%B6g%C3%A5rdshandel.jpg,12081567274,,,Idholmens gårdsbutik hjärtstartare,59.483222,18.815508
http://www.wikidata.org/entity/Q135041758,Kungshamns Samfällighet Hästskovägen hjärtstartare,Point(18.883756 59.636341),http://commons.wikimedia.org/wiki/Special:FilePath/Kungshamns%20Samf%C3%A4llighet%20H%C3%A4stskov%C3%A4gen%20Hj%C3%A4rtstartare%2003.jpg,12811267201,,,Kungshamns Samfällighet Hästskovägen AED,59.636341,18.883756
