osm_type,osm_id,url,wikidata_tag,name
node,6730659174,https://www.openstreetmap.org/node/6730659174,Q135062583,SAT Ingmarsö
node,12758854059,https://www.openstreetmap.org/node/12758854059,Q135063085,SAT Ingmarsö
node,12758872849,https://www.openstreetmap.org/node/12758872849,Q135062808,SAT Ingmarsö
node,12758913300,https://www.openstreetmap.org/node/12758913300,Q135063320,SAT Ingmarsö
node,12758914941,https://www.openstreetmap.org/node/12758914941,Q135065340,SAT Arholma
node,12758929382,https://www.openstreetmap.org/node/12758929382,Q135063491,SAT Ingmarsö
node,12759045298,https://www.openstreetmap.org/node/12759045298,Q135056610,SAT Runmarö
node,12759055196,https://www.openstreetmap.org/node/12759055196,Q135065022,SAT Lidö
node,12759062051,https://www.openstreetmap.org/node/12759062051,Q135055618,SAT Ornö
node,12759068092,https://www.openstreetmap.org/node/12759068092,Q135054293,SAT Ornö
node,12759068968,https://www.openstreetmap.org/node/12759068968,Q135054141,SAT Ornö
node,12759068970,https://www.openstreetmap.org/node/12759068970,Q135054522,SAT Ornö
node,12759074801,https://www.openstreetmap.org/node/12759074801,Q135053596,SAT Ornö
node,12759101764,https://www.openstreetmap.org/node/12759101764,Q135046665,SAT Rånö
node,12759112391,https://www.openstreetmap.org/node/12759112391,Q135057039,SAT Runmarö
node,12759116768,https://www.openstreetmap.org/node/12759116768,Q135051272,SAT Utö
node,12759131167,https://www.openstreetmap.org/node/12759131167,Q135050889,SAT Utö
node,12759136097,https://www.openstreetmap.org/node/12759136097,Q135050059,SAT Utö
node,12759177968,https://www.openstreetmap.org/node/12759177968,Q135048381,SAT Ålö
node,12759186158,https://www.openstreetmap.org/node/12759186158,Q135048990,SAT Ålö
node,12759188938,https://www.openstreetmap.org/node/12759188938,Q135048975,SAT Ålö
node,12771834467,https://www.openstreetmap.org/node/12771834467,Q135063516,SAT Finnhamn
node,12829605557,https://www.openstreetmap.org/node/12829605557,Q135049010,SAT Utö
node,12830388834,https://www.openstreetmap.org/node/12830388834,Q135052516,SAT Utö
node,12837199685,https://www.openstreetmap.org/node/12837199685,Q135064407,SAT Finnhamn
node,12837227282,https://www.openstreetmap.org/node/12837227282,Q135045682,SAT Nåttarö
node,12837532532,https://www.openstreetmap.org/node/12837532532,Q135045488,SAT Nåttarö
node,12837567381,https://www.openstreetmap.org/node/12837567381,Q135045359,SAT Nåttarö
node,12837571751,https://www.openstreetmap.org/node/12837571751,Q135045432,SAT Nåttarö
node,12837581021,https://www.openstreetmap.org/node/12837581021,Q135045892,SAT Nåttarö
node,12837790865,https://www.openstreetmap.org/node/12837790865,Q135060651,SAT Svartsö
node,12838059988,https://www.openstreetmap.org/node/12838059988,Q135060878,SAT Svartsö
node,12838059989,https://www.openstreetmap.org/node/12838059989,Q135061041,SAT Svartsö
node,12838244063,https://www.openstreetmap.org/node/12838244063,Q135052708,SAT Utö
node,12838455374,https://www.openstreetmap.org/node/12838455374,Q135048658,SAT Ålö
node,12838471017,https://www.openstreetmap.org/node/12838471017,Q135046168,SAT Nåttarö
node,12838486713,https://www.openstreetmap.org/node/12838486713,Q135061205,SAT Svartsö
node,12838600542,https://www.openstreetmap.org/node/12838600542,Q135064468,SAT Finnhamn
node,12880343679,https://www.openstreetmap.org/node/12880343679,Q135052427,SAT Utö
node,12951930010,https://www.openstreetmap.org/node/12951930010,Q135086439,SAT Nämdö
node,12951960993,https://www.openstreetmap.org/node/12951960993,Q135086883,SAT Nämdö
node,12951972175,https://www.openstreetmap.org/node/12951972175,Q135087121,SAT Ornö
node,12952012604,https://www.openstreetmap.org/node/12952012604,Q135087297,SAT Ornö
node,13077798237,https://www.openstreetmap.org/node/13077798237,Q135900081,SAT Arholma
node,13077967040,https://www.openstreetmap.org/node/13077967040,Q135900640,SAT Arholma
node,13078172838,https://www.openstreetmap.org/node/13078172838,Q135901115,SAT Arholma
node,13085694555,https://www.openstreetmap.org/node/13085694555,Q135916989,SAT Möja
node,13085756547,https://www.openstreetmap.org/node/13085756547,Q135917088,SAT Finnhamn
node,13097861489,https://www.openstreetmap.org/node/13097861489,Q135973655,SAT Grinda
node,13135709296,https://www.openstreetmap.org/node/13135709296,Q136214806,SAT Arholma
node,13135735705,https://www.openstreetmap.org/node/13135735705,Q136214817,SAT Arholma
node,13135751919,https://www.openstreetmap.org/node/13135751919,Q136214840,SAT Arholma
node,13158767841,https://www.openstreetmap.org/node/13158767841,Q136341620,SAT Finnhamn
