qid,osm_rel,osm_way,todo
Q55693495,,,🔗 Add/Correct wikidata=Q55693495 in OSM relation/way
Q10435627,,103223724,🔗 Add/Correct wikidata=Q10435627 in OSM relation/way
Q30163211,13929199,,🔗 Add/Correct wikidata=Q30163211 in OSM relation/way
Q55693510,,,🔗 Add/Correct wikidata=Q55693510 in OSM relation/way
Q30176892,,,🔗 Add/Correct wikidata=Q30176892 in OSM relation/way
Q29580017,,,🔗 Add/Correct wikidata=Q29580017 in OSM relation/way
Q30172530,,,🔗 Add/Correct wikidata=Q30172530 in OSM relation/way
Q29580026,,103228133,🔗 Add/Correct wikidata=Q29580026 in OSM relation/way
Q30158662,,,🔗 Add/Correct wikidata=Q30158662 in OSM relation/way
Q30165417,,,🔗 Add/Correct wikidata=Q30165417 in OSM relation/way
Q91870846,,,🔗 Add/Correct wikidata=Q91870846 in OSM relation/way
Q10572699,5823084,,🔗 Add/Correct wikidata=Q10572699 in OSM relation/way
Q30158607,,,🔗 Add/Correct wikidata=Q30158607 in OSM relation/way
Q134587569,1463792,,🔗 Add/Correct wikidata=Q134587569 in OSM relation/way
Q91914178,,,🔗 Add/Correct wikidata=Q91914178 in OSM relation/way
Q10669326,,,🔗 Add/Correct wikidata=Q10669326 in OSM relation/way
Q10669326,,,🔗 Add/Correct wikidata=Q10669326 in OSM relation/way
Q121433503,,,🔗 Add/Correct wikidata=Q121433503 in OSM relation/way
Q30160002,,793248665,🔗 Add/Correct wikidata=Q30160002 in OSM relation/way
Q10397880,1381602,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/abborrtrask.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/adelso-sattra.html in OSM relation/way
Q10404424,2651046,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/alby.html in OSM relation/way
Q30162836,10626317,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/angodrommen.html in OSM relation/way
Q30159126,,103249546,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/askarehage.html in OSM relation/way
Q30161455,9769162,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/aspdalssjon.html in OSM relation/way
Q55693495,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/bellberget.html in OSM relation/way
Q30160668,,103225890,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/bjoringe.html in OSM relation/way
Q30161744,1463772,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/bjorkby-kyrkviken.html in OSM relation/way
Q10430621,1463778,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/bjorksattrahalvon.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/bjorkviksmossens-domanreservat.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/bjorko.html in OSM relation/way
Q26196467,1463786,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/bjorno.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/blagardsmossen.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/bogesundslandet.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/bokullen.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/borgskogen.html in OSM relation/way
Q10433291,1463757,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/bornsjon.html in OSM relation/way
Q10433291,1463757,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/bornsjon.html in OSM relation/way
Q10433291,1463757,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/bornsjon.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/borntorp.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/borudan-pellemossen.html in OSM relation/way
Q10433446,9367179,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/boskapson.html in OSM relation/way
,,,🌐 Add/Correct website=https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/brandalsund.html in OSM relation/way
