osmid,highway,surface,tracktype,foot,bicycle,sac_scale,trail_visibility,smoothness,image,missing_surface,missing_access,missing_hike,inconsistent,Etapp
39504808,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/B%C3%A5tluffarleden_Finnhamns_sidan_01.jpg/1536px-B%C3%A5tluffarleden_Finnhamns_sidan_01.jpg?fbclid=IwQ0xDSwMGdJVleHRuA2FlbQIxMQABHgPg9_qauG70Ra2Wzp-_Pq0U5kZqOmTrpXlEvnl_lN1adlz2Bjld657nrbCN_aem_eQ,True,False,False,False,Roddbåtar att korsa mellan Finnhamn till Ingmarsö
39504808,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/B%C3%A5tluffarleden_Finnhamns_sidan_01.jpg/1536px-B%C3%A5tluffarleden_Finnhamns_sidan_01.jpg?fbclid=IwQ0xDSwMGdJVleHRuA2FlbQIxMQABHgPg9_qauG70Ra2Wzp-_Pq0U5kZqOmTrpXlEvnl_lN1adlz2Bjld657nrbCN_aem_eQ,True,False,False,False,Roddbåtar att korsa mellan Ingmarsö till Finnhamn
42559813,service,,,,,,,,,True,False,False,False,SAT Arholma
42559822,tertiary,gravel,,,,,,intermediate,,False,False,False,False,SAT Arholma
42701072,service,,,yes,yes,,,,,True,False,False,False,SAT Arholma
42701081,tertiary,,,,,,,,,True,False,False,False,SAT Arholma
42701093,residential,gravel,,,,,,intermediate,,False,False,False,False,SAT Arholma
65690011,tertiary,,,,,,,,,True,False,False,False,SAT Arholma
65690019,unclassified,gravel,,,,,,intermediate,,False,False,False,False,SAT Arholma
65690027,footway,,,,,,,,,True,True,True,False,SAT Arholma
65692966,track,,grade5,,,,,,,True,False,False,False,SAT Arholma
73015569,service,gravel,,,,,,intermediate,,False,False,False,False,SAT Arholma
73015580,track,unpaved,grade3,,,,,,,False,False,False,False,SAT Arholma
148019206,path,grass,,,,,,,,False,True,True,False,SAT Arholma
148019207,unclassified,gravel,,,,,,intermediate,,False,False,False,False,SAT Arholma
148019209,path,,,,,,,,,True,True,True,False,SAT Arholma
148019213,path,unpaved,,,,,,,,False,True,True,False,SAT Arholma
148019214,path,,,,,,,,,True,True,True,False,SAT Arholma
205939564,tertiary,gravel,,,,,,intermediate,,False,False,False,False,SAT Arholma
292553977,footway,,,yes,,,,,,True,False,True,False,SAT Arholma
513323288,track,unpaved,grade5,,,,,,,False,False,False,False,SAT Arholma
514839690,path,unpaved,,,,,,,,False,True,True,False,SAT Arholma
514839693,path,unpaved,,,,,,,,False,True,True,False,SAT Arholma
514839702,footway,,,yes,,,,,,True,False,True,False,SAT Arholma
605734273,steps,,,,,,,,,True,False,False,False,SAT Arholma
605734274,footway,,,yes,,,,,,True,False,True,False,SAT Arholma
605734275,track,,grade3,,,,,,,True,False,False,False,SAT Arholma
605807597,footway,,,,,,,,,True,True,True,False,SAT Arholma
605807603,service,,,,,,,,,True,False,False,False,SAT Arholma
610244020,footway,,,,,,,,,True,True,True,False,SAT Arholma
1120319390,tertiary,,,,,,,,,True,False,False,False,SAT Arholma
1378914348,residential,gravel,,,,,,intermediate,,False,False,False,False,SAT Arholma
1378914351,path,unpaved,,,,,,,,False,True,True,False,SAT Arholma
1378914352,path,,,,,,,,,True,True,True,False,SAT Arholma
1378914354,service,,,,,,,,,True,False,False,False,SAT Arholma
620363967,unclassified,compacted,,,,,,,,False,False,False,False,SAT Brottö
620363971,unclassified,compacted,,,,,,,,False,False,False,False,SAT Brottö
39504806,path,ground,,,,,,,,False,True,True,False,SAT Finnhamn
39504807,path,ground,,,,,,,,False,True,True,False,SAT Finnhamn
126470801,path,,,,,,,,,True,True,True,False,SAT Finnhamn
222762725,track,gravel,grade2,,,,,intermediate,,False,False,False,False,SAT Finnhamn
287245652,path,ground,,,,,,,,False,True,True,False,SAT Finnhamn
287245654,track,fine_gravel,grade2,,,,,intermediate,,False,False,False,False,SAT Finnhamn
287245655,track,fine_gravel,grade2,,,,,intermediate,,False,False,False,False,SAT Finnhamn
287245656,path,ground,,,,,,,,False,True,True,False,SAT Finnhamn
287245657,track,fine_gravel,grade2,,,,,intermediate,,False,False,False,False,SAT Finnhamn
346550510,path,ground,,,,,,,,False,True,True,False,SAT Finnhamn
360568156,path,ground,,,,,,,,False,True,True,False,SAT Finnhamn
506814564,path,ground,,,,,,,,False,True,True,False,SAT Finnhamn
606367684,path,ground,,,,,,,,False,True,True,False,SAT Finnhamn
620364012,track,fine_gravel,grade2,,,,,intermediate,,False,False,False,False,SAT Finnhamn
620364014,track,compacted,grade2,,,,,intermediate,,False,False,False,False,SAT Finnhamn
620364016,path,ground,,,,,,,,False,True,True,False,SAT Finnhamn
696324909,track,fine_gravel,grade2,,,,,intermediate,,False,False,False,False,SAT Finnhamn
696326499,path,ground,,,,,,,,False,True,True,False,SAT Finnhamn
696327445,path,ground,,,,,,,,False,True,True,False,SAT Finnhamn
967578974,path,ground,,,,,,,,False,True,True,False,SAT Finnhamn
967578991,path,ground,,,,,,,,False,True,True,False,SAT Finnhamn
967578992,path,ground,,,,,,,,False,True,True,False,SAT Finnhamn
967578993,path,,,,,,,,,True,True,True,False,SAT Finnhamn
967578995,path,,,,,,,,,True,True,True,False,SAT Finnhamn
1087587107,path,,,,,,,,,True,True,True,False,SAT Finnhamn
1087587108,path,,,,,,,,,True,True,True,False,SAT Finnhamn
1087587111,track,fine_gravel,grade4,,,,,intermediate,,False,False,False,False,SAT Finnhamn
1087587121,track,fine_gravel,grade1,,,,,intermediate,,False,False,False,False,SAT Finnhamn
1379275517,path,ground,,,,,,,,False,True,True,False,SAT Finnhamn
1379275518,path,ground,,,,,,,,False,True,True,False,SAT Finnhamn
