section,total_km,share_car_road,share_sidewalk_ped,share_dedicated_path,share_track,share_steps,share_other,with_sac,with_visibility,lit_km,surface_top
Roddbåtar att korsa mellan Finnhamn till Ingmarsö,0.7823881016460779,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,{'unknown': 782.3881016460779}
Roddbåtar att korsa mellan Ingmarsö till Finnhamn,0.7823881016460779,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,{'unknown': 782.3881016460779}
SAT Arholma,21.262248085895838,0.5406254397485265,0.0,0.37793354268683466,0.0811309967313918,0.00031002083324721546,0.0,33,40,0.0,"{'gravel': 11403.510637769072, 'unpaved': 4459.727489769259, 'unknown': 3734.1362341613185, 'grass': 1520.9259620760638, 'sand': 143.94776212012619}"
SAT Brottö,1.9572414019525661,0.986707439439513,0.0,0.0132925605604871,0.0,0.0,0.0,3,3,0.0,"{'compacted': 1931.224652085619, 'concrete': 26.01674986694716}"
SAT Finnhamn,16.60555435692886,0.0,0.0,0.7661634232210657,0.23383657677893446,0.0,0.0,49,43,0.0,"{'ground': 9507.405005684273, 'fine_gravel': 1975.2831883999058, 'gravel': 1454.7660141260399, 'ground,rock': 928.9690668104374, 'compacted': 712.1597161815438, 'bare_rock': 622.5589942424062}"
SAT Fjärdlång,16.977043054851794,0.0,0.0,0.8340064112322554,0.16599358876774484,0.0,0.0,20,20,0.0,"{'compacted': 7961.060393368004, 'ground': 3818.852906917458, 'grass': 2183.695172927069, 'unknown': 864.4142256976254, 'rock;compacted': 844.5984329017003, 'compacted;rock': 516.4657746526943}"
SAT Furusund,13.297849593957796,0.4061916391617279,0.0,0.5502938746035528,0.034562871284364985,0.008951614950354323,0.0,36,43,0.0,"{'compacted': 7044.890572861694, 'dirt': 2364.3222071685386, 'asphalt': 1548.9924252427968, 'gravel': 754.9769231966413, 'grass': 513.9257491841162, 'ground': 473.93842374355467}"
SAT Grinda,15.77934363717123,0.0,0.0,0.7058831653550571,0.2941168346449426,0.0,0.0,28,34,1.7609435506479731,"{'compacted': 9341.403904692168, 'gravel': 1357.36125414281, 'ground': 1312.6741382344253, 'dirt': 1153.2239824962335, 'compund': 885.1280344068269, 'unknown': 781.0504357099962}"
SAT Ingmarsö,16.4929636747721,0.30058865347329705,0.0,0.6282062563099723,0.023767399994758617,0.0,0.04743769022197213,28,26,0.0,"{'compacted': 6902.854766425062, 'ground': 3205.4009784103055, 'grass': 2741.393193031407, 'wood': 1938.7865258898796, 'gravel': 922.1401093693675, 'unknown': 782.3881016460779}"
SAT Landsort,17.514658581944435,0.15736788173340702,0.0,0.5223972511392591,0.3166254215770293,0.003609445550304793,0.0,34,37,0.09915169004894529,"{'compacted': 6284.487595806743, 'rock': 3856.1413189266455, 'ground': 2877.668491707096, 'gravel': 1570.108002077865, 'unknown': 1110.5187276227423, 'ground,rock': 1017.8043580332167}"
SAT Lidö,15.441563534464562,0.0,0.0,0.7278329148390313,0.2721670851609686,0.0,0.0,22,20,1.2842920122994097,"{'unpaved': 5468.9650199924545, 'compacted': 4976.807097537126, 'ground': 2151.6982529676766, 'grass': 1408.6105214983236, 'gravel': 1089.0912500840411, 'rock': 346.39139238493885}"
SAT Möja,19.28157233930023,0.9424735751237168,0.0,0.05752642487628322,0.0,0.0,0.0,8,5,0.0,"{'compacted': 19165.933956896424, 'asphalt': 115.63838240380556}"
SAT Nämdö,23.34354261468831,0.4041712600019527,0.0,0.21618463165832605,0.3796441083397211,0.0,0.0,14,21,0.0,"{'gravel': 16883.025029367996, 'compacted': 1822.004530240578, 'unknown': 1585.2866270959971, 'compacted;rock': 1415.2602244736893, 'grass': 832.5657393725248, 'ground': 741.6393473641602}"
SAT Nåttarö,16.12165819596411,0.0,0.0,0.5908152913303898,0.40918470866961026,0.0,0.0,19,10,0.0,"{'ground': 6545.93481594822, 'gravel': 4107.985358838234, 'unknown': 1712.4354076864045, 'rock': 1624.4206713008505, 'dirt': 1035.3977999259585, 'sand': 708.3092598631716}"
SAT Ornö,58.82342372111555,0.4098633531199522,0.0,0.4811977749322786,0.10893887194776923,0.0,0.0,62,72,0.0,"{'compacted': 22582.029758647594, 'gravel': 8880.469493330891, 'asphalt': 8604.294507120543, 'grass': 6305.76179943536, 'dirt': 4171.812456596333, 'ground': 3986.963210803578}"
SAT Runmarö,33.65947424710176,0.501416925209606,0.0,0.26275994418192383,0.2358231306084701,0.0,0.0,25,37,0.0,"{'compacted': 9392.373538548834, 'gravel': 8438.682686061913, 'unpaved': 6769.489196910517, 'unknown': 6268.806387464623, 'ground': 1452.1335780210052, 'compacted;grass': 1110.1154528491404}"
SAT Rånö,20.553731386240823,0.33197087646707824,0.0,0.35601265226229706,0.3120164712706246,0.0,0.0,9,11,0.0,"{'gravel': 13236.342961538407, 'ground': 2614.5326205327347, 'grass': 2112.1588582005143, 'unknown': 1497.8805327818116, 'forest_floor': 1041.0138941305552, 'compacted': 51.80251905679779}"
SAT Sandhamn,13.858533657093526,0.29605923553547336,0.0,0.6346304092182009,0.06931035524632563,0.0,0.0,32,30,0.0,"{'compacted': 6356.565714452606, 'dirt': 3206.7061359389736, 'unpaved': 2796.677378301204, 'gravel': 1065.6195135515375, 'sand': 256.8119457526021, 'wood': 176.15296909660066}"
SAT Svartsö,28.540284935077636,0.4613467769922616,0.0,0.11040249344893589,0.42825072955880245,0.0,0.0,17,28,0.0,"{'gravel': 17704.485675172284, 'compacted': 7522.763813663426, 'unknown': 3313.0354462419255}"
