section,total_km,max_dist_m,mean_dist_m,share_≤50m,share_≤100m,share_≤250m,share_≤500m,share_≤1000m,share_>1000m
Roddbåtar att korsa mellan Finnhamn till Ingmarsö,0.7823881016460779,0.0,0.0,1.0,,,,,
Roddbåtar att korsa mellan Ingmarsö till Finnhamn,0.7823881016460779,0.0,0.0,1.0,,,,,
SAT Arholma,21.262248085895838,354.2388193236405,107.99442727369136,0.25319024227697223,0.22833061459466594,0.4652285986571014,0.05325054447126047,,
SAT Brottö,1.9572414019525661,60.238154991257126,25.9441879904771,0.1417147208002336,0.8582852791997665,,,,
SAT Finnhamn,16.60555435692886,407.01541800305307,81.3635428167626,0.6820931105025857,0.15445367871982218,0.09768693422349888,0.0657662765540934,,
SAT Fjärdlång,16.977043054851794,625.4109335570957,183.91741986655023,0.4371834439717297,0.21706096989318102,0.2521545291161913,0.05886105520121628,0.03474000181768179,
SAT Furusund,13.297849593957796,323.43760504290435,93.17982028005852,0.626099613099626,0.10202118666405671,0.18528258582642979,0.0865966144098873,,
SAT Grinda,15.779343637171229,455.0649344003784,76.01527971120736,0.6648508620883704,0.1977117118688031,0.035015816550587525,0.10242160949223894,,
SAT Ingmarsö,16.4929636747721,591.031936168372,150.26412420426752,0.4878927761948605,0.09073035229805207,0.31634665560332104,0.0933688739468497,0.011661341956916788,
SAT Landsort,17.514658581944435,330.1114363058688,115.6241223696097,0.5499805066052476,0.20634289005229572,0.2227041792013699,0.020972424141087062,,
SAT Lidö,15.441563534464562,444.9039467511909,112.03641066177575,0.4959322845959114,0.10005271919496979,0.28481242502140053,0.1192025711877182,,
SAT Möja,19.28157233930023,335.60808705585174,86.75684603366581,0.565377339620373,0.07354360814010981,0.3407076592428017,0.02037139299671545,,
SAT Nämdö,23.34354261468831,1029.9175641541083,242.02357829580956,0.3128609056365736,0.2936337618385504,0.14185241972086549,0.09120533853697534,0.11411977599517698,0.04632779827185817
SAT Nåttarö,16.12165819596411,606.2045199803824,193.50972609796773,0.6203462166923176,,0.10716172527829196,0.23732658297421838,0.035165475055171994,
SAT Ornö,58.82342372111555,1510.9678455905387,306.44430075349743,0.3286438510263049,0.14798490396728167,0.1756956140513574,0.2185199884953116,0.05939842369125868,0.06975721876848583
SAT Runmarö,33.65947424710176,695.8696680746923,215.87066505486715,0.23086506972496676,0.0608682121225698,0.4569791525856002,0.21637517950311824,0.03491238606374486,
SAT Rånö,20.553731386240823,682.284460351441,147.88277470898484,0.48352168173035354,0.1332156638530262,0.27722331134780404,0.033163012020501925,0.07287633104831417,
SAT Sandhamn,13.858533657093526,644.0713523055555,125.39556690605066,0.30243595919594407,0.25908951013718395,0.33118602392528224,0.09906647370811134,0.00822203303347842,
SAT Svartsö,28.540284935077636,487.07931757462796,141.8234237230338,0.37475395006514717,0.4641332502406368,0.04018033827426578,0.12093246141995018,,
SAT Utö,32.21400345856679,808.482207699717,145.33001145621398,0.43112826799489135,0.2507609550117294,0.16769368415185462,0.1301507478623184,0.020266344979206128,
SAT Yxlan,40.61616620979292,813.4297068595545,197.4354112945392,0.2744042454462074,0.19807146471804887,0.2496033047966249,0.18478235160147655,0.09313863343764232,
SAT Ålö,23.65377022449047,776.6135690322131,139.28569458237757,0.536442881339755,0.08809706634879154,0.2996839714822928,0.04774177439628212,0.028034306432878485,
Öjaleden,10.951287261134112,299.85729670729296,140.52228354457694,0.4525049149721228,0.24622458183122467,0.2873863017131662,0.013884201483486347,,
