section,status_bucket,dist_band,count
SAT Arholma,missing,≤100m,3
SAT Arholma,missing,≤200m,8
SAT Arholma,missing,≤50m,20
SAT Arholma,no,≤100m,3
SAT Arholma,no,≤50m,16
SAT Arholma,yes,≤50m,1
SAT Finnhamn,missing,≤100m,8
SAT Finnhamn,missing,≤50m,37
SAT Finnhamn,no,≤100m,3
SAT Finnhamn,no,≤200m,10
SAT Finnhamn,no,≤50m,25
SAT Finnhamn,yes,≤100m,1
SAT Finnhamn,yes,≤50m,2
SAT Fjärdlång,missing,≤100m,1
SAT Fjärdlång,missing,≤200m,5
SAT Fjärdlång,missing,≤50m,7
SAT Fjärdlång,no,≤50m,4
SAT Furusund,missing,≤100m,3
SAT Furusund,missing,≤200m,3
SAT Furusund,missing,≤50m,7
SAT Grinda,missing,≤100m,7
SAT Grinda,missing,≤200m,12
SAT Grinda,missing,≤50m,31
SAT Grinda,no,≤100m,12
SAT Grinda,no,≤200m,4
SAT Grinda,no,≤50m,54
SAT Grinda,yes,≤100m,2
SAT Grinda,yes,≤200m,12
SAT Grinda,yes,≤50m,40
SAT Ingmarsö,missing,≤50m,11
SAT Ingmarsö,no,≤200m,4
SAT Ingmarsö,no,≤50m,6
SAT Landsort,missing,≤50m,26
SAT Landsort,no,≤50m,6
SAT Landsort,yes,≤50m,1
SAT Lidö,missing,≤100m,5
SAT Lidö,missing,≤200m,6
SAT Lidö,missing,≤50m,5
SAT Lidö,no,≤100m,2
SAT Lidö,no,≤50m,2
SAT Möja,missing,≤100m,4
SAT Möja,missing,≤200m,1
SAT Möja,missing,≤50m,7
SAT Möja,no,≤200m,1
SAT Möja,no,≤50m,2
SAT Möja,yes,≤50m,1
SAT Nämdö,missing,≤200m,1
SAT Nämdö,missing,≤50m,10
SAT Nämdö,no,≤50m,4
SAT Nåttarö,missing,≤100m,1
SAT Nåttarö,missing,≤200m,8
SAT Nåttarö,missing,≤50m,11
SAT Nåttarö,no,≤50m,4
SAT Nåttarö,yes,≤50m,2
SAT Ornö,missing,≤100m,2
SAT Ornö,missing,≤200m,3
SAT Ornö,missing,≤50m,16
SAT Ornö,no,≤100m,2
SAT Ornö,no,≤50m,3
SAT Ornö,yes,≤100m,1
SAT Runmarö,missing,≤100m,1
SAT Runmarö,missing,≤200m,3
SAT Runmarö,missing,≤50m,3
SAT Runmarö,no,≤50m,1
SAT Runmarö,yes,≤50m,3
SAT Rånö,missing,≤100m,7
SAT Rånö,missing,≤200m,5
SAT Rånö,missing,≤50m,6
SAT Rånö,no,≤100m,4
SAT Rånö,no,≤50m,4
SAT Rånö,yes,≤50m,5
SAT Sandhamn,missing,≤100m,3
SAT Sandhamn,missing,≤50m,10
SAT Sandhamn,no,≤50m,8
SAT Sandhamn,yes,≤50m,5
SAT Svartsö,missing,≤100m,1
SAT Svartsö,missing,≤50m,11
SAT Svartsö,yes,≤100m,1
SAT Svartsö,yes,≤200m,3
SAT Svartsö,yes,≤50m,11
SAT Utö,missing,≤100m,8
SAT Utö,missing,≤200m,6
SAT Utö,missing,≤50m,27
SAT Utö,no,≤100m,2
SAT Utö,no,≤50m,5
SAT Yxlan,no,≤200m,4
SAT Ålö,missing,≤100m,1
SAT Ålö,missing,≤200m,3
SAT Ålö,missing,≤50m,9
SAT Ålö,no,≤50m,4
SAT Ålö,yes,≤50m,4
Öjaleden,missing,≤50m,8
Öjaleden,no,≤50m,2
