Namn,Alternativt namn,BBR-ID,RAÄ-UUID,Objekttyp,Kommun,Län,Skyddstyp,Wikidata-sökning
Uthus,,B2025:58185,007fe611-f5c7-4130-8361-3600837ca3dc,Byggnad,Nynäshamn,Stockholm,Statligt byggnadsminne,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:58185
Befästningsverk,,B2025:58160,01453c99-c9b1-4c85-8f4c-dbb6d2714ae0,Byggnad,Nynäshamn,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:58160
Sandhamns varv,,B2025:50011,018719a6-eca4-43aa-be95-7a666ea0b271,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:50011
Seglarstaden,,B2025:50077,01c66bb2-d8f7-49a3-abf1-534efcbe1937,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:50077
,,B2025:49913,01c9dac8-b6e2-4db3-aae0-3ce60c1b2f1d,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49913
Arbetarbostad,,B2025:9424,020afda6-43cd-4b83-b8a9-db577343a412,Byggnad,Haninge,Stockholm,Byggnadsminne,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:9424
,,B2025:49958,03dd5afe-b13c-49a1-a4c0-ce7cb8a42f65,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49958
Fyrmästarbostad,,B2025:58183,03eb1356-e6f4-4d34-b429-3097772831e7,Byggnad,Nynäshamn,Stockholm,Statligt byggnadsminne,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:58183
Arbetarbostad,,B2025:9420,03f0b476-6622-4d5b-b1f0-3a168d7f196c,Byggnad,Haninge,Stockholm,Byggnadsminne,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:9420
,,B2025:49926,03f1061b-5989-424f-832d-135c74df4802,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:49926
Klockstapel,,B2025:59287,047e390f-a9c9-454a-936c-a54287480f46,Anläggning,Värmdö,Stockholm,Kyrkligt kulturminne,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:59287
,,B2025:50051,04d66cb9-a021-40db-b4fe-e9d563e3a69d,Byggnad,Värmdö,Stockholm,Identifierat kulturvärde,https://www.wikidata.org/wiki/Special:Search?search=haswbstatement:P1260=raa/bbr/B2025:50051
