osm_type,osm_id,osm_prefixed_id,wikidata_tag,name,operator,board_type,lat,lon,url,raw_tags,wd_status
node,6730659174,n6730659174,Q135062583,SAT Ingmarsö,Stockholm Archipelago Trail,hiking,59.4697358,18.7534304,https://www.openstreetmap.org/node/6730659174,"{""board_type"": ""hiking"", ""destination"": ""SAT Ingmarsö"", ""image"": ""https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/SAT_Ingmars%C3%B6_sign_01.jpg/2560px-SAT_Ingmars%C3%B6_sign_01.jpg"", ""information"": ""guidepost"", ""name"": ""SAT Ingmarsö"", ""operator"": ""Stockholm Archipelago Trail"", ""tourism"": ""information"", ""website"": ""https://stockholmarchipelagotrail.com/section/section-ingmarso/"", ""wikidata"": ""Q135062583""}",ok
node,12758854059,n12758854059,Q135063085,SAT Ingmarsö,Stockholm Archipelago Trail,hiking,59.4729686,18.7556706,https://www.openstreetmap.org/node/12758854059,"{""board_type"": ""hiking"", ""destination"": ""SAT Ingmarsö"", ""image"": ""https://upload.wikimedia.org/wikipedia/commons/a/a5/SAT_Ingmars%C3%B6_skylt_norra_Ingmars%C3%B6.jpg"", ""information"": ""guidepost"", ""name"": ""SAT Ingmarsö"", ""operator"": ""Stockholm Archipelago Trail"", ""tourism"": ""information"", ""website"": ""https://stockholmarchipelagotrail.com/section/section-ingmarso/"", ""wikidata"": ""Q135063085""}",ok
node,12758872849,n12758872849,Q135062808,SAT Ingmarsö,Stockholm Archipelago Trail,hiking,59.4753373,18.7513055,https://www.openstreetmap.org/node/12758872849,"{""board_type"": ""hiking"", ""destination"": ""SAT Ingmarsö"", ""image"": ""https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/SAT_Ingmars%C3%B6_sign_norra.jpg/2560px-SAT_Ingmars%C3%B6_sign_norra.jpg"", ""information"": ""guidepost"", ""name"": ""SAT Ingmarsö"", ""operator"": ""Stockholm Archipelago Trail"", ""tourism"": ""information"", ""website"": ""https://stockholmarchipelagotrail.com/section/section-ingmarso/"", ""wikidata"": ""Q135062808""}",ok
node,12758913300,n12758913300,Q135063320,SAT Ingmarsö,Stockholm Archipelago Trail,hiking,59.4703467,18.7690053,https://www.openstreetmap.org/node/12758913300,"{""board_type"": ""hiking"", ""destination"": ""SAT Ingmarsö"", ""image"": ""https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/SAT_Ingmars%C3%B6_Femsundsviken_skylt.jpg/2560px-SAT_Ingmars%C3%B6_Femsundsviken_skylt.jpg"", ""information"": ""guidepost"", ""name"": ""SAT Ingmarsö"", ""operator"": ""Stockholm Archipelago Trail"", ""tourism"": ""information"", ""website"": ""https://stockholmarchipelagotrail.com/section/section-ingmarso/"", ""wikidata"": ""Q135063320""}",ok
node,12758914941,n12758914941,Q135065340,SAT Arholma,Stockholm Archipelago Trail,hiking,59.8509574,19.1095517,https://www.openstreetmap.org/node/12758914941,"{""board_type"": ""hiking"", ""destination"": ""SAT Arholma"", ""image"": ""https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/SAT_etapp_Arholma_skylt.jpg/1536px-SAT_etapp_Arholma_skylt.jpg"", ""image:license"": ""CC0 1.0"", ""image:license:wikidata"": ""Q6938433"", ""information"": ""guidepost"", ""name"": ""SAT Arholma"", ""operator"": ""Stockholm Archipelago Trail"", ""tourism"": ""information"", ""website"": ""https://stockholmarchipelagotrail.com/section/sat-arholma/"", ""wikidata"": ""Q135065340""}",ok
node,12758929382,n12758929382,Q135063491,SAT Ingmarsö,Stockholm Archipelago Trail,hiking,59.4810005,18.7983471,https://www.openstreetmap.org/node/12758929382,"{""board_type"": ""hiking"", ""destination"": ""SAT Ingmarsö"", ""image"": ""https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/SAT_Ingmars%C3%B6_skylt_Bockholmen.jpg/2560px-SAT_Ingmars%C3%B6_skylt_Bockholmen.jpg"", ""information"": ""guidepost"", ""name"": ""SAT Ingmarsö"", ""operator"": ""Stockholm Archipelago Trail"", ""tourism"": ""information"", ""website"": ""https://stockholmarchipelagotrail.com/section/section-ingmarso/"", ""wikidata"": ""Q135063491""}",ok
node,12759045298,n12759045298,Q135056610,SAT Runmarö,Stockholm Archipelago Trail,hiking,59.2785125,18.7605692,https://www.openstreetmap.org/node/12759045298,"{""board_type"": ""hiking"", ""destination"": ""SAT Runmarö"", ""image"": ""https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/SAT_Runmar%C3%B6_28.jpg/2560px-SAT_Runmar%C3%B6_28.jpg"", ""information"": ""guidepost"", ""name"": ""SAT Runmarö"", ""operator"": ""Stockholm Archipelago Trail"", ""tourism"": ""information"", ""website"": ""https://stockholmarchipelagotrail.com/section/section-runmaro"", ""wikidata"": ""Q135056610""}",ok
node,12759055196,n12759055196,Q135065022,SAT Lidö,Stockholm Archipelago Trail,hiking,59.7794945,19.0916138,https://www.openstreetmap.org/node/12759055196,"{""board_type"": ""hiking"", ""destination"": ""SAT Lidö"", ""image"": ""https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/SAT_norra_Lid%C3%B6_skylt.jpg/2560px-SAT_norra_Lid%C3%B6_skylt.jpg"", ""information"": ""guidepost"", ""name"": ""SAT Lidö"", ""operator"": ""Stockholm Archipelago Trail"", ""tourism"": ""information"", ""website"": ""https://stockholmarchipelagotrail.com/section/section-lido"", ""wikidata"": ""Q135065022""}",ok
node,12759062051,n12759062051,Q135055618,SAT Ornö,Stockholm Archipelago Trail,hiking,59.0764208,18.3911953,https://www.openstreetmap.org/node/12759062051,"{""board_type"": ""hiking"", ""destination"": ""SAT Ornö"", ""image"": ""https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/SAT_Orn%C3%B6_2025_april_16_leden.jpg/2560px-SAT_Orn%C3%B6_2025_april_16_leden.jpg"", ""information"": ""guidepost"", ""name"": ""SAT Ornö"", ""operator"": ""Stockholm Archipelago Trail"", ""tourism"": ""information"", ""website"": ""https://stockholmarchipelagotrail.com/section/section-orno"", ""wikidata"": ""Q135055618""}",ok
node,12759068092,n12759068092,Q135054293,SAT Ornö,Stockholm Archipelago Trail,hiking,59.0590075,18.3923017,https://www.openstreetmap.org/node/12759068092,"{""board_type"": ""hiking"", ""destination"": ""SAT Ornö"", ""image"": ""https://upload.wikimedia.org/wikipedia/commons/d/d2/SAT_Orn%C3%B6_2025_april_skylt_%281%29.jpg"", ""information"": ""guidepost"", ""name"": ""SAT Ornö"", ""operator"": ""Stockholm Archipelago Trail"", ""tourism"": ""information"", ""website"": ""https://stockholmarchipelagotrail.com/section/section-orno"", ""wikidata"": ""Q135054293""}",ok
