qid,label,typ,osm_id,osm_prefixed_id,wd_has_coord,wd_lat,wd_lon
Q135010805,Vandringsskylt SAT Landsort,way,12944560760,w12944560760,True,58.743978,17.865669
Q135045291,Vandringsskylt SAT Landsort,way,12944833081,w12944833081,True,58.753514,17.864859
Q135045302,Vandringsskylt SAT Landsort,way,12944798435,w12944798435,True,58.766947,17.860033
Q135045359,Vandringsskylt SAT Nåttarö,way,12837567381,w12837567381,True,58.868373,18.124888
Q135045432,Vandringsskylt SAT Nåttarö,way,12837571751,w12837571751,True,58.869897,18.111198
Q135045488,Vandringsskylt SAT Nåttarö,way,12837532532,w12837532532,True,58.881051,18.110728
Q135045682,Vandringsskylt SAT Nåttarö,way,12837227282,w12837227282,True,58.879249,18.112689
Q135045892,Vandringsskylt SAT Nåttarö,way,12837581021,w12837581021,True,58.877405,18.132581
Q135046168,Vandringsskylt SAT Nåttarö,way,12838471017,w12838471017,True,58.887072,18.137038
Q135046665,Vandringsskylt SAT Rånö,way,12759101764,w12759101764,True,58.919991,18.167932
Q135048381,Vandringsskylt SAT Ålö,way,12759177968,w12759177968,True,58.920043,18.192131
Q135048658,Vandringsskylt SAT Ålö,way,12838455374,w12838455374,True,58.920276,18.195411
Q135048975,Vandringsskylt SAT Ålö,way,12759188938,w12759188938,True,58.909936,18.218312
Q135048990,Vandringsskylt SAT Ålö,way,12759186158,w12759186158,True,58.934278,18.223082
Q135048998,Vandringsskylt SAT Ålö Utö,way,12759181942,w12759181942,True,58.934383,18.223253
Q135049010,Vandringsskylt SAT Utö Ålö,way,12829605557,w12829605557,True,58.95474,18.283788
Q135050059,Vandringsskylt SAT Utö,way,12759136097,w12759136097,True,58.957457,18.294478
Q135050889,Vandringsskylt SAT Utö,way,12759131167,w12759131167,True,58.951551,18.286354
Q135051272,Vandringsskylt SAT Utö,way,12759116768,w12759116768,True,58.962033,18.308237
Q135052427,Vandringsskylt SAT Utö,way,12880343679,w12880343679,True,58.969922,18.325095
Q135052516,Vandringsskylt SAT Utö,way,12830388834,w12830388834,True,58.969984,18.327263
Q135052708,Vandringsskylt SAT Utö,way,12838244063,w12838244063,True,58.961139,18.336703
Q135053596,Vandringsskylt SAT Ornö,way,12759074801,w12759074801,True,59.045162,18.365236
Q135054141,Vandringsskylt SAT Ornö,way,12759068968,w12759068968,True,59.050146,18.369519
Q135054293,Vandringsskylt SAT Ornö,way,12759068092,w12759068092,True,59.059007,18.392302
Q135054522,Vandringsskylt SAT Ornö,way,12759068970,w12759068970,True,59.059434,18.424934
Q135055618,Vandringsskylt SAT Ornö,way,12759062051,w12759062051,True,59.076421,18.391195
Q135056610,Vandringsskylt SAT Runmarö,way,12759045298,w12759045298,True,59.278512,18.760569
Q135057039,Vandringsskylt SAT Runmarö,way,12759112391,w12759112391,True,59.29606,18.771822
Q135057413,Vandringsskylt SAT Sandhamn,way,12838440697,w12838440697,True,59.288026,18.918738
Q135057751,Vandringsskylt SAT Grinda,way,12758924280,w12758924280,True,59.407603,18.553459
Q135057972,Vandringsskylt SAT Grinda,way,863394962,w863394962,True,59.418743,18.558778
Q135060190,Vandringsskylt SAT Svartsö,way,12837723036,w12837723036,True,59.43798,18.658168
Q135060467,Vandringsskylt SAT Svartsö,way,12837652979,w12837652979,True,59.457297,18.678761
Q135060651,Vandringsskylt SAT Svartsö,way,12837790865,w12837790865,True,59.448886,18.686527
Q135060878,Vandringsskylt SAT Svartsö,way,12838059988,w12838059988,True,59.450096,18.689013
Q135061041,Vandringsskylt SAT Svartsö,way,12838059989,w12838059989,True,59.454145,18.714136
Q135061205,Vandringsskylt SAT Svartsö,way,12838486713,w12838486713,True,59.455575,18.739413
Q135062583,Vandringsskylt SAT Ingmarsö,way,6730659174,w6730659174,True,59.469736,18.75343
Q135062808,Vandringsskylt SAT Ingmarsö,way,12758872849,w12758872849,True,59.475337,18.751305
Q135063085,Vandringsskylt SAT Ingmarsö,way,12758854059,w12758854059,True,59.472969,18.755671
