label,island,toilets_nearby,avg_distance_m
SAT Grinda,Grinda,12,31.417177922466024
SAT Finnhamn,Finnhamn,9,29.863549202299264
SAT Fjärdlång,Fjärdlång,8,29.204350006782928
SAT Utö,Utö,7,21.975823958547494
SAT Arholma,Arholma,5,56.50620205892811
SAT Rånö,Rånö,4,38.584390534783076
SAT Ålö,Ålö,3,35.464055142387686
SAT Ingmarsö,Ingmarsö,3,26.455285071957537
SAT Lidö,Lidö,2,29.203748453330856
SAT Nåttarö,Nåttarö,2,46.96797386455593
SAT Sandhamn,Sandön,2,27.375656956340194
SAT Landsort,Öja,1,27.341891150590158
SAT Nämdö,Nämdö,1,9.07626408832796
SAT Ornö,Ornö,1,4.2760339903841285
SAT Furusund,Furusund,1,16.95887711666629
SAT Yxlan,Yxlan,1,94.32370686237392
SAT Möja,Möja,1,11.96054087268826
