item,itemLabel,OSMnode,coord,img,trail,trailLabel,lengthkm,officiellWebswe,officiellWeben,lat,lon
http://www.wikidata.org/entity/Q133453469,Grillplats Arholma Nord,12686218003,Point(19.122244 59.861189),http://commons.wikimedia.org/wiki/Special:FilePath/SAT%20Arholma%2020250813%20vandringen%2001.jpg,http://www.wikidata.org/entity/Q133374147,SAT Arholma,12.7,https://stockholmarchipelagotrail.com/sv/section/etapp-arholma/,https://stockholmarchipelagotrail.com/section/sat-arholma/,59.861189,19.122244
http://www.wikidata.org/entity/Q134611499,Grillplats Arholma Nord östra,13078034117,Point(19.123867 59.861482),http://commons.wikimedia.org/wiki/Special:FilePath/SAT%20Arholma%2020250813%20-%2007.jpg,http://www.wikidata.org/entity/Q133374147,SAT Arholma,12.7,https://stockholmarchipelagotrail.com/sv/section/etapp-arholma/,https://stockholmarchipelagotrail.com/section/sat-arholma/,59.861482,19.123867
http://www.wikidata.org/entity/Q133872120,Lidö Österhamn grillplats,12755413219,Point(19.091683 59.778733),http://commons.wikimedia.org/wiki/Special:FilePath/SAT%20Lid%C3%B6%20%C3%96sterhamn%20grillplats%2002.jpg,http://www.wikidata.org/entity/Q133374185,SAT Lidö,11.9,https://stockholmarchipelagotrail.com/sv/section/etapp-lido/,https://stockholmarchipelagotrail.com/section/section-lido/,59.778733,19.091683
http://www.wikidata.org/entity/Q134704760,Lidö vindskydd,12886705448,Point(19.062199 59.7819711),http://commons.wikimedia.org/wiki/Special:FilePath/Lid%C3%B6%20vindkydd.jpg,http://www.wikidata.org/entity/Q133374185,SAT Lidö,11.9,https://stockholmarchipelagotrail.com/sv/section/etapp-lido/,https://stockholmarchipelagotrail.com/section/section-lido/,59.7819711,19.062199
http://www.wikidata.org/entity/Q121715058,Rast- och grillplats Öja-Landsort,12662333661,Point(17.8604402 58.7672602),http://commons.wikimedia.org/wiki/Special:FilePath/%C3%96ja%20campingplats%20grillplats.jpg,http://www.wikidata.org/entity/Q133449160,SAT Landsort,13.8,https://stockholmarchipelagotrail.com/sv/section/etapp-landsort/,https://stockholmarchipelagotrail.com/section/section-landsort/,58.7672602,17.8604402
http://www.wikidata.org/entity/Q121361352,Grillplats Grinda södra bryggan,2285331215,Point(18.55504 59.40767),http://commons.wikimedia.org/wiki/Special:FilePath/Barbecue%20area%20Grinda.jpg,http://www.wikidata.org/entity/Q133502246,SAT Grinda,9.8,https://stockholmarchipelagotrail.com/sv/section/etapp-grinda/,https://stockholmarchipelagotrail.com/section/section-grinda/,59.40767,18.55504
http://www.wikidata.org/entity/Q121433209,"Grillplats vid badstrand, Grinda",12759232983,Point(18.557012 59.412276),http://commons.wikimedia.org/wiki/Special:FilePath/Barbecue%20area%20Grinda%20bathwater.jpg,http://www.wikidata.org/entity/Q133502246,SAT Grinda,9.8,https://stockholmarchipelagotrail.com/sv/section/etapp-grinda/,https://stockholmarchipelagotrail.com/section/section-grinda/,59.412276,18.557012
http://www.wikidata.org/entity/Q121433242,Grillplats Grinda tältplats syd västra 2,11145662490,Point(18.557522 59.417123),http://commons.wikimedia.org/wiki/Special:FilePath/SAT%2020250915%20n%2023.jpg,http://www.wikidata.org/entity/Q133502246,SAT Grinda,9.8,https://stockholmarchipelagotrail.com/sv/section/etapp-grinda/,https://stockholmarchipelagotrail.com/section/section-grinda/,59.417123,18.557522
http://www.wikidata.org/entity/Q121433258,Östra grillplatsen vid tältplatsen 2,11145662491,Point(18.559763 59.417385),http://commons.wikimedia.org/wiki/Special:FilePath/Barbecue%20area%20Grinda%20tent%20area%202.jpg,http://www.wikidata.org/entity/Q133502246,SAT Grinda,9.8,https://stockholmarchipelagotrail.com/sv/section/etapp-grinda/,https://stockholmarchipelagotrail.com/section/section-grinda/,59.417385,18.559763
http://www.wikidata.org/entity/Q121433272,Östra grillplatsen vid tältplatsen 1,12735795790,Point(18.561723 59.417383),http://commons.wikimedia.org/wiki/Special:FilePath/SAT%20Grinda%20ny%20grillplats%202025%20mar.jpg,http://www.wikidata.org/entity/Q133502246,SAT Grinda,9.8,https://stockholmarchipelagotrail.com/sv/section/etapp-grinda/,https://stockholmarchipelagotrail.com/section/section-grinda/,59.417383,18.561723
http://www.wikidata.org/entity/Q121714588,Grinda Klubbudden grillplats,863394672,Point(18.574888 59.406358),http://commons.wikimedia.org/wiki/Special:FilePath/Grinda%2C%20Klubbudden%20Barbecue%20area.jpg,http://www.wikidata.org/entity/Q133502246,SAT Grinda,9.8,https://stockholmarchipelagotrail.com/sv/section/etapp-grinda/,https://stockholmarchipelagotrail.com/section/section-grinda/,59.406358,18.574888
http://www.wikidata.org/entity/Q135969918,"Grillplats 2 vid badstrand, Grinda",13097085019,Point(18.557534 59.41185),http://commons.wikimedia.org/wiki/Special:FilePath/SAT%20Grinda%2020250825%20vandring%20dokumentera%2008.jpg,http://www.wikidata.org/entity/Q133502246,SAT Grinda,9.8,https://stockholmarchipelagotrail.com/sv/section/etapp-grinda/,https://stockholmarchipelagotrail.com/section/section-grinda/,59.41185,18.557534
http://www.wikidata.org/entity/Q135971987,Grillplats Grinda stugbyn 3,13097212671,Point(18.5620066 59.4068949),http://commons.wikimedia.org/wiki/Special:FilePath/Grillplats%20stugbyn%20Grinda%20nr%203.jpg,http://www.wikidata.org/entity/Q133502246,SAT Grinda,9.8,https://stockholmarchipelagotrail.com/sv/section/etapp-grinda/,https://stockholmarchipelagotrail.com/section/section-grinda/,59.4068949,18.5620066
http://www.wikidata.org/entity/Q135972088,Grillplats Grinda stugbyn 2,13096084423,Point(18.560292 59.406923),http://commons.wikimedia.org/wiki/Special:FilePath/Grillplats%20Grinda%20stugbyn%202.jpg,http://www.wikidata.org/entity/Q133502246,SAT Grinda,9.8,https://stockholmarchipelagotrail.com/sv/section/etapp-grinda/,https://stockholmarchipelagotrail.com/section/section-grinda/,59.406923,18.560292
http://www.wikidata.org/entity/Q136036748,Grillplats Grinda stugbyn,13096084423,Point(18.559305 59.407227),http://commons.wikimedia.org/wiki/Special:FilePath/SAT%20Grinda%20grillplats%20stugbyn.jpg,http://www.wikidata.org/entity/Q133502246,SAT Grinda,9.8,https://stockholmarchipelagotrail.com/sv/section/etapp-grinda/,https://stockholmarchipelagotrail.com/section/section-grinda/,59.407227,18.559305
http://www.wikidata.org/entity/Q136298469,Grinda grillplats Klubbudden 2,13144859129,Point(18.57492632 59.40604465),http://commons.wikimedia.org/wiki/Special:FilePath/SAT%20Grinda%2029250915%20c%2008.jpg,http://www.wikidata.org/entity/Q133502246,SAT Grinda,9.8,https://stockholmarchipelagotrail.com/sv/section/etapp-grinda/,https://stockholmarchipelagotrail.com/section/section-grinda/,59.40604465,18.57492632
http://www.wikidata.org/entity/Q134519257,Nåttarö vandrarhem grillplats,12778243911,Point(18.134411 58.885691),http://commons.wikimedia.org/wiki/Special:FilePath/SATN%C3%A5ttar%C3%B6%202025%20april%20%28227%29.jpg,http://www.wikidata.org/entity/Q133554956,SAT Nämdö,13.1,https://stockholmarchipelagotrail.com/sv/section/etapp-namdo/,https://stockholmarchipelagotrail.com/section/section-namdo/,58.885691,18.134411
http://www.wikidata.org/entity/Q134082069,"Vänsviken, Nåttarö BBQ",7791335090,Point(18.12492 58.86828),http://commons.wikimedia.org/wiki/Special:FilePath/SATN%C3%A5ttar%C3%B6%202025%20april%20grillplats%20V%C3%A4nsvik.jpg,http://www.wikidata.org/entity/Q133724230,SAT Nåttarö,10.3,https://stockholmarchipelagotrail.com/sv/section/etapp-nattaro,https://stockholmarchipelagotrail.com/section/section-nattaro,58.86828,18.12492
http://www.wikidata.org/entity/Q121409712,SAT grill Storsand,12748117664,Point(18.1334129 58.876693),http://commons.wikimedia.org/wiki/Special:FilePath/SATN%C3%A5ttar%C3%B6%202025%20april%20SAT%20grill%20Storsand%20%282%29.jpg,http://www.wikidata.org/entity/Q133724230,SAT Nåttarö,10.3,https://stockholmarchipelagotrail.com/sv/section/etapp-nattaro,https://stockholmarchipelagotrail.com/section/section-nattaro,58.876693,18.1334129
http://www.wikidata.org/entity/Q121412621,Grillplats Storsand,12778377048,Point(18.135939 58.877793),http://commons.wikimedia.org/wiki/Special:FilePath/SATN%C3%A5ttar%C3%B6%202025%20april%20norr%20om%20Storsand%20grillplats.jpg,http://www.wikidata.org/entity/Q133724230,SAT Nåttarö,10.3,https://stockholmarchipelagotrail.com/sv/section/etapp-nattaro,https://stockholmarchipelagotrail.com/section/section-nattaro,58.877793,18.135939
http://www.wikidata.org/entity/Q134082140,Östemar grillplats gamla,12778302897,Point(18.137578 58.887353),http://commons.wikimedia.org/wiki/Special:FilePath/SATN%C3%A5ttar%C3%B6%202025%20april%20%C3%96stemar%20grillplats%20gamla.jpg,http://www.wikidata.org/entity/Q133724230,SAT Nåttarö,10.3,https://stockholmarchipelagotrail.com/sv/section/etapp-nattaro,https://stockholmarchipelagotrail.com/section/section-nattaro,58.887353,18.137578
http://www.wikidata.org/entity/Q134082735,Östemar grillplats nya,12748135194,Point(18.137387 58.887157),http://commons.wikimedia.org/wiki/Special:FilePath/SATN%C3%A5ttar%C3%B6%202025%20april%20%C3%96stemar%20grillplats%20SAT.jpg,http://www.wikidata.org/entity/Q133724230,SAT Nåttarö,10.3,https://stockholmarchipelagotrail.com/sv/section/etapp-nattaro,https://stockholmarchipelagotrail.com/section/section-nattaro,58.887157,18.137387
http://www.wikidata.org/entity/Q134537879,"Vänsvik udd, Nåttarö grillplats",12849416949,Point(18.131126 58.866529),http://commons.wikimedia.org/wiki/Special:FilePath/SATN%C3%A5ttar%C3%B6%202025%20april%20grillplats%20V%C3%A4nviks%20udd%20%282%29.jpg,http://www.wikidata.org/entity/Q133724230,SAT Nåttarö,10.3,https://stockholmarchipelagotrail.com/sv/section/etapp-nattaro,https://stockholmarchipelagotrail.com/section/section-nattaro,58.866529,18.131126
http://www.wikidata.org/entity/Q134570185,Norr Storsand grillplats,12748117653,Point(18.135786 58.877736),http://commons.wikimedia.org/wiki/Special:FilePath/SATN%C3%A5ttar%C3%B6%202025%20april%20SAT%20Storsand.jpg,http://www.wikidata.org/entity/Q133724230,SAT Nåttarö,10.3,https://stockholmarchipelagotrail.com/sv/section/etapp-nattaro,https://stockholmarchipelagotrail.com/section/section-nattaro,58.877736,18.135786
http://www.wikidata.org/entity/Q134570492,Nåttarö västra campingen grillplats,12861905256,Point(18.106936 58.876961),http://commons.wikimedia.org/wiki/Special:FilePath/SATN%C3%A5ttar%C3%B6%202025%20april%20grillplats.jpg,http://www.wikidata.org/entity/Q133724230,SAT Nåttarö,10.3,https://stockholmarchipelagotrail.com/sv/section/etapp-nattaro,https://stockholmarchipelagotrail.com/section/section-nattaro,58.876961,18.106936
http://www.wikidata.org/entity/Q134578274,Storsand grillplats 1,12778631114,Point(18.133114 58.876015),http://commons.wikimedia.org/wiki/Special:FilePath/SATN%C3%A5ttar%C3%B6%202025%20april%20grillplats%20Storsand%20%284%29.jpg,http://www.wikidata.org/entity/Q133724230,SAT Nåttarö,10.3,https://stockholmarchipelagotrail.com/sv/section/etapp-nattaro,https://stockholmarchipelagotrail.com/section/section-nattaro,58.876015,18.133114
http://www.wikidata.org/entity/Q134578337,Grillplats Storsand,12748117658,Point(18.133729 58.877121),http://commons.wikimedia.org/wiki/Special:FilePath/SATN%C3%A5ttar%C3%B6%202025%20april%20Storsand%20grillplats%203.jpg,http://www.wikidata.org/entity/Q133724230,SAT Nåttarö,10.3,https://stockholmarchipelagotrail.com/sv/section/etapp-nattaro,https://stockholmarchipelagotrail.com/section/section-nattaro,58.877121,18.133729
http://www.wikidata.org/entity/Q134579695,Storsand Nåttarö grillplats,7791350755,Point(18.133193 58.876646),http://commons.wikimedia.org/wiki/Special:FilePath/SATN%C3%A5ttar%C3%B6%202025%20april%20grillplats%20Storsand%202.jpg,http://www.wikidata.org/entity/Q133724230,SAT Nåttarö,10.3,https://stockholmarchipelagotrail.com/sv/section/etapp-nattaro,https://stockholmarchipelagotrail.com/section/section-nattaro,58.876646,18.133193
http://www.wikidata.org/entity/Q134579808,Storsand grillplats 2 Nåttarö,12748117663,Point(18.133978 58.875992),http://commons.wikimedia.org/wiki/Special:FilePath/SATN%C3%A5ttar%C3%B6%202025%20april%20grillplats%20Storsand.jpg,http://www.wikidata.org/entity/Q133724230,SAT Nåttarö,10.3,https://stockholmarchipelagotrail.com/sv/section/etapp-nattaro,https://stockholmarchipelagotrail.com/section/section-nattaro,58.875992,18.133978
http://www.wikidata.org/entity/Q134580000,SAT grill södra Storsand Nåttarö,12748117664,Point(18.1339749 58.8758738),http://commons.wikimedia.org/wiki/Special:FilePath/SATN%C3%A5ttar%C3%B6%202025%20april%20SAT%20grill%20Storsand%20%282%29.jpg,http://www.wikidata.org/entity/Q133724230,SAT Nåttarö,10.3,https://stockholmarchipelagotrail.com/sv/section/etapp-nattaro,https://stockholmarchipelagotrail.com/section/section-nattaro,58.8758738,18.1339749
http://www.wikidata.org/entity/Q134582792,Skarsand SAT grillplats,12865388855,Point(18.136511 58.884203),http://commons.wikimedia.org/wiki/Special:FilePath/SATN%C3%A5ttar%C3%B6%202025%20april%20Skarsand%20grillplats%20SAT%202.jpg,http://www.wikidata.org/entity/Q133724230,SAT Nåttarö,10.3,https://stockholmarchipelagotrail.com/sv/section/etapp-nattaro,https://stockholmarchipelagotrail.com/section/section-nattaro,58.884203,18.136511
