item,itemLabel,coord,img,website,lat,lon
http://www.wikidata.org/entity/Q133864761,Knicksand grillplats,Point(18.165038 58.917789),http://commons.wikimedia.org/wiki/Special:FilePath/Knicksand-grillplats-1.jpg,,58.917789,18.165038
http://www.wikidata.org/entity/Q133864801,Knicksand grillplats,Point(18.165444 58.917563),http://commons.wikimedia.org/wiki/Special:FilePath/Grillplats-Knicksand-Rano-vid-badplatsen.jpg,,58.917563,18.165444
http://www.wikidata.org/entity/Q133864847,"Sandön, grillplats",Point(18.909647 59.278198),http://commons.wikimedia.org/wiki/Special:FilePath/Enkel%20grillplatsen%20p%C3%A5%20Sand%C3%B6n.jpg,,59.278198,18.909647
http://www.wikidata.org/entity/Q133864944,"Myrudden, grillplats",Point(18.911037 59.664687),http://commons.wikimedia.org/wiki/Special:FilePath/SAT%20Furusund%20grillplats%20Myrudden.jpg,,59.664687,18.911037
http://www.wikidata.org/entity/Q133872120,Lidö Österhamn grillplats,Point(19.091683 59.778733),http://commons.wikimedia.org/wiki/Special:FilePath/SAT%20Lid%C3%B6%20%C3%96sterhamn%20grillplats%2002.jpg,,59.778733,19.091683
http://www.wikidata.org/entity/Q133895106,Vindskydd lilla Jolpan,Point(18.818998 59.47289),http://commons.wikimedia.org/wiki/Special:FilePath/Lilla%20Jolpan%20vindskydd%2001.jpg,,59.47289,18.818998
http://www.wikidata.org/entity/Q133993440,"Fjärdlång bryggan, grillplats",Point(18.511983 59.035715),http://commons.wikimedia.org/wiki/Special:FilePath/SAT%20Fj%C3%A4rdl%C3%A5ng%20grillplats%20bryggan.jpg,https://grillplatser.nu/Grillplats/Visa/Fjardlang-brygga,59.035715,18.511983
http://www.wikidata.org/entity/Q134005778,"Thielska villan, grillplats, Fjärdlång",Point(18.517191 59.036678),http://commons.wikimedia.org/wiki/Special:FilePath/SAT%20Fj%C3%A4rdl%C3%A5ng%202025%20april%20Thielska%20villan%20grillplats.jpg,https://grillplatser.nu/Grillplats/Visa/Thielska-villan,59.036678,18.517191
http://www.wikidata.org/entity/Q134006267,"Fjärdlång tältplats, grillplats",Point(18.5160081 59.0378705),http://commons.wikimedia.org/wiki/Special:FilePath/SAT%20Fj%C3%A4rdl%C3%A5ng%202025%20april%20T%C3%A4ltplats%20-%20grillplats.jpg,https://grillplatser.nu/Grillplats/Visa/Fjardlangen-2,59.0378705,18.5160081
http://www.wikidata.org/entity/Q134006727,Pojkarnas udde grillplats,Point(18.805395 59.479442),http://commons.wikimedia.org/wiki/Special:FilePath/SAT%20Finnhamn%20grillplats%20Pojkarnas%20udde%2001.jpg,,59.479442,18.805395
http://www.wikidata.org/entity/Q134082069,"Vänsviken, Nåttarö BBQ",Point(18.12492 58.86828),http://commons.wikimedia.org/wiki/Special:FilePath/SATN%C3%A5ttar%C3%B6%202025%20april%20grillplats%20V%C3%A4nsvik.jpg,,58.86828,18.12492
http://www.wikidata.org/entity/Q134082140,Östemar grillplats gamla,Point(18.137578 58.887353),http://commons.wikimedia.org/wiki/Special:FilePath/SATN%C3%A5ttar%C3%B6%202025%20april%20%C3%96stemar%20grillplats%20gamla.jpg,,58.887353,18.137578
